EventID,EventTemplate,Occurrence
E1,"<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",1017
E2,image <*> at (<*>): checking,82
E3,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
E4,Active base files: <*>,82
E5,[instance: <*>] VM Resumed (Lifecycle Event),44
E6,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,43
E7,Unknown base file: <*>,30
E8,Removable base files: <*>,30
E9,[instance: <*>] VM Started (Lifecycle Event),22
E10,[instance: <*>] VM Paused (Lifecycle Event),22
E11,Creating event network-vif-plugged:<*> for instance <*>,22
E12,[instance: <*>] Instance spawned successfully.,22
E13,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
E14,[instance: <*>] Took <*> seconds to build instance.,22
E15,[instance: <*>] Terminating instance,22
E16,[instance: <*>] Instance destroyed successfully.,22
E17,[instance: <*>] Deleting instance files <*>,21
E18,[instance: <*>] Deletion of <*> complete,21
E19,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
E20,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
E21,Removing base or swap file: <*>,21
E22,HTTP exception thrown: No instances found for any event,21
E23,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
E24,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
E25,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
E26,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
E27,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
E28,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
E29,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
E30,[instance: <*>] Claim successful,21
E31,[instance: <*>] Creating image,21
E32,[instance: <*>] VM Stopped (Lifecycle Event),21
E33,Auditing locally available compute resources for node <*>,15
E34,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
E35,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],15
E36,Compute_service record updated for <*>,15
E37,Base or swap file too young to remove: <*>,9
E38,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
E39,Successfully synced instances from host '<*>'.,2
E40,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
E41,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
