EventID,EventTemplate,Occurrence
E1,<*> open through proxy <*> HTTPS,954
E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",355
E3,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",294
E4,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",168
E5,"<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",121
E6,<*> error : A connection request was canceled before the completion.,31
E7,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,26
E8,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,20
E9,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",17
E10,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",9
E11,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
E12,<*> open through proxy <*> SOCKS5,2
