EventID,EventTemplate,Occurrence
E1,data_thread() got not answer from any [<*>] datasource,819
E2,"synchronized to <*>, stratum <*>",568
E3,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
E4,[ib_sm_sweep.c:<*>]: No topology change,62
E5,[ib_sm_sweep.c:<*>]: No configuration change required,62
E6,Warning: we failed to resolve data source name <*>,34
E7,session closed for user <*>,24
E8,session opened for user <*> by (uid=<*>),19
E9,Reading included configuration file: <*> [file=<*>] [line=<*>],17
E10,removing <*>,16
E11,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
E12,(<*>) CMD (run-parts <*>),14
E13,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
E14,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
E15,unable to qualify my own domain name (<*>) -- using short name,10
E16,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",10
E17,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
E18,PCI Interrupt Routing Table [<*>],10
E19,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,9
E20,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,7
E21,Wait for ready failed before probe !,6
E22,DHCPDISCOVER from <*> via eth1,5
E23,DHCPOFFER on <*> to <*> via eth1,5
E24,(<*>) CMD (<*> <*>),5
E25,My unqualified host name (<*>) unknown; sleeping for retry,5
E26,"PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled.",5
E27,L2 cache: <*>,5
E28,Physical Processor ID: <*>,5
E29,"Trace cache: <*> uops, L1 D cache: <*>",5
E30,Registered protocol family <*>,5
E31,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
E32,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
E33,Processor [<*>] (supports C1),4
E34,(C) <*>-<*> Netfilter core team,4
E35,Local disconnected: Connection closed.,3
E36,connection lost: 'Connection closed.',3
E37,DHCPACK on <*> to <*> via eth1,3
E38,DHCPREQUEST for <*> (<*>) from <*> via eth1,3
E39,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
E40,<*> used by override.,3
E41,mounted filesystem with ordered data mode.,3
E42,"apic_id <*>, version <*>, address <*>, GSI <*>",3
E43,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>,2
E44,allocating divert_blk for <*>,2
E45,not allocating divert_blk for non-ethernet device <*>,2
E46,<*>: <*>: Intel(R) PRO/<*> Network Connection,2
E47,... autorun DONE.,2
E48,Autodetecting RAID arrays.,2
E49,autorun ...,2
E50,<*> (Release Date: <*> <*>),2
E51,connection from <*>,2
E52,"User <*>, coming from <*>, authenticated.",2
E53,Now running on <*>'s privileges.,2
E54,succeeded,2
E55,START: tftp pid=<*> from=<*>,1
E56,kernel time sync disabled <*>,1
E57,time reset +<*> s,1
E58,Received SNMP packet(s) from <*>,1
E59,kernel time sync enabled <*>,1
E60,CentOS-<*> (Kernel Module GPG key),1
E61,(supports <*>),1
E62,HPET id: <*> base: <*>,1
