EventID,EventTemplate,Occurrence
E1,generating core.<*>,721
E2,iar <*> dear <*>,208
E3,<*> floating point alignment exceptions,121
E4,<*> double-hummer alignment exceptions,109
E5,"CE sym <*>, at <*>, mask <*>",92
E6,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
E7,data TLB error interrupt,60
E8,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
E9,instruction cache parity error corrected,42
E10,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
E11,data storage interrupt,30
E12,ciod: generated <*> core files for program <*>,30
E13,instruction address: <*>,21
E14,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21
E15,"ciod: Error loading <*>: invalid or missing program image, Permission denied",19
E16,ciod: LOGIN chdir(<*>) failed: No such file or directory,18
E17,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
E18,"ciod: Error loading <*>: invalid or missing program image, Exec format error",17
E19,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
E20,total of <*> ddr error(s) detected and corrected,13
E21,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",9
E22,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,9
E23,Lustre mount FAILED : <*> : point <*>,9
E24,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",9
E25,data address: <*>,8
E26,program interrupt: illegal instruction......<*>,8
E27,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",8
E28,core configuration register: <*>,7
E29,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),7
E30,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
E31,exception syndrome register: <*>,6
E32,Node card is not fully functional,6
E33,Can not get assembly information for node card,6
E34,rts: kernel terminated for reason <*>,6
E35,data cache search parity error detected. attempting to correct,6
E36,machine check: i-fetch......................<*>,5
E37,data store interrupt caused by dcbf.........<*>,5
E38,program interrupt: privileged instruction...<*>,5
E39,program interrupt: imprecise exception......<*>,5
E40,data store interrupt caused by icbi.........<*>,5
E41,auxiliary processor.........................<*>,5
E42,floating pt ex mode <*> enable......<*>,5
E43,data address space................<*>,5
E44,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,5
E45,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
E46,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",5
E47,machine state register: <*>,4
E48,floating point instr. enabled.....<*>,4
E49,program interrupt: fp cr field .............<*>,4
E50,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer",4
E51,total of <*> ddr error(s) detected and corrected over <*> seconds,4
E52,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
E53,"problem state (<*>=sup,<*>=usr).......<*>",3
E54,disable store gathering..................<*>,3
E55,program interrupt,3
E56,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
E57,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,3
E58,ciod: pollControlDescriptors: Detected the debugger died.,3
E59,force load/store alignment...............<*>,2
E60,store operation.............................<*>,2
E61,machine check enable..............<*>,2
E62,program interrupt: unimplemented operation..<*>,2
E63,byte ordering exception.....................<*>,2
E64,guaranteed instruction cache block touch.<*>,2
E65,icache prefetch threshold................<*>,2
E66,debug wait enable.................<*>,2
E67,ciod: Missing or invalid fields on line <*> of node map file <*>,2
E68,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,2
E69,rts panic! - stopping execution,2
E70,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
E71,suppressing further interrupts of same type,2
E72,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",2
E73,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,2
E74,Lustre mount FAILED : <*> : block_id : location,2
E75,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
E76,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,2
E77,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
E78,ciod: Message code <*> is not <*> or <*>,1
E79,program interrupt: trap instruction.........<*>,1
E80,debug interrupt enable............<*>,1
E81,program interrupt: fp cr update.............<*>,1
E82,guaranteed data cache block touch........<*>,1
E83,icache prefetch depth....................<*>,1
E84,wait state enable.................<*>,1
E85,critical input interrupt enable...<*>,1
E86,special purpose registers:,1
E87,lr:<*> cr:<*> xer:<*> ctr:<*>,1
E88,rts internal error,1
E89,instruction address space.........<*>,1
E90,ciod: Error creating node map from file <*>: No child processes,1
E91,ciod: Error creating node map from file <*>: Bad file descriptor,1
E92,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
E93,ciod: Error creating node map from file <*>: Block device required,1
E94,ciod: Error creating node map from file <*>: Permission denied,1
E95,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
E96,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",1
E97,NodeCard is not fully functional,1
E98,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.",1
E99,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
E100,rts tree/torus link training failed: wanted: <*> got: <*>,1
E101,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,1
E102,"ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1
