EventID,EventTemplate,Occurrence
E1,Address change detected. Old: <*> New: <*>,476
E2,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,326
E3,Progress of TaskAttempt <*> is : <*>,289
E4,ERROR IN CONTACTING RM.,147
E5,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)",146
E6,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>",131
E7,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
E8,Resolved <*> to <*>,39
E9,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
E10,Processing the event EventType: <*> for container <*> taskAttempt <*>,13
E11,Opening proxy : <*>,13
E12,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>",12
E13,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,12
E14,<*> Task Transitioned from NEW to SCHEDULED,11
E15,Got allocated containers <*>,10
E16,Assigned container <*> to <*>,10
E17,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
E18,Launching <*>,10
E19,Shuffle port returned by ContainerManager for <*> : <*>,10
E20,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>],10
E21,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
E22,ATTEMPT_START <*>,10
E23,<*> Task Transitioned from SCHEDULED to RUNNING,10
E24,Auth successful for <*> (auth:SIMPLE),10
E25,JVM with ID : <*> asked for a task,10
E26,JVM with ID: <*> given task: <*>,10
E27,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,9
E28,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5
E29,Diagnostics report from <*>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,4
E30,Default file system [<*>],3
E31,KILLING <*>,3
E32,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
E33,Starting Socket Reader #<*> for port <*>,2
E34,IPC Server Responder: starting,2
E35,IPC Server listener on <*>: starting,2
E36,adding path spec: <*>,2
E37,Received completed container <*>,2
E38,Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,2
E39,<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP,2
E40,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,2
E41,Processing the event EventType: TASK_ABORT,2
E42,Task cleanup failed for attempt <*>,2
E43,<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,2
E44,<*> failures on node MININT-<*>,2
E45,Added <*> to list of failed maps,2
E46,Created MRAppMaster for application <*>,1
E47,Executing with tokens:,1
E48,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",1
E49,Using mapred newApiCommitter.,1
E50,OutputCommitter set in config <*>,1
