EventID,EventTemplate,Occurrence
E1,onExtend:<*> <*> <*> <*>,273
E2,onStandStepChanged <*>,260
E3,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,242
E4,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,241
E5,calculateCaloriesWithCache totalCalories=<*>,241
E6,calculateAltitudeWithCache totalAltitude=<*>,241
E7,processHandleBroadcastAction action:android.intent.action.TIME_TICK,144
E8,REPORT : <*> <*> <*> <*>,136
E9,onReceive action: android.intent.action.SCREEN_ON,17
E10,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17
E11,flush sensor data,17
E12,onReceive action: android.intent.action.SCREEN_OFF,17
E13,"new date =<*>, type=<*>,<*>,old=<*>",17
E14,getBinderPackageName packageName = com.huawei.health,8
E15,getTodaySportData mStepsRecordManager=<*>,6
E16,"upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>",5
E17,"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",5
E18,needAutoSync autoSyncSwitch is open,5
E19,"initDataPrivacy the dataPrivacy switch is open, start push health data!",5
E20,initDataPrivacy the dataPrivacy is <*>,5
E21,"initUserPrivacy the userPrivacy switch is open, start push user data!",5
E22,initUserPrivacy the userPrivacy is <*>,5
E23,ifCanSync not! no cloud version,5
E24,sendSyncFailedBroadcast,5
E25,"timeStamp back,extendReportTimeStamp=<*>",5
E26,"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>",4
E27,startTimer start autoSync,3
E28,stepSyncOrNot appSynTimes is <*>,3
E29,"getAppContext() isAppValid health or wear, packageName = <*>",2
E30,insertHiHealthData() checkAppType <*> appID = <*>,2
E31,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>",2
E32,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>",2
E33,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>",2
E34,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>",2
E35,startListenerChange subscribeList = [<*>],2
E36,insertHiHealthData() end totalTime = <*>,2
E37,checkInsertStatus stepSum or calorieSum is enough,2
E38,checkInsertStatus stepStatSum or calorieStatSum is enough,2
E39,"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>",2
E40,"startInsertSportSync start auto sync,app is <*>",2
E41,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",2
E42,"startInsertSportSync first <*> steps sync,do all sync",2
E43,getTodayBasicStandardSteps= <*>##<*>##<*>,2
E44,getDiffTotalSteps= <*>##<*>,2
E45,isScreenOn <*>,1
E46,"screen status unknown,think screen on",1
E47,flushTempCacheToDB by stand,1
E48,Alarm uploadStaticsToDB totalSteps=<*> Calories:<*> Floor:<*> Distance:<*>,1
E49,writeDataToDB size <*>,1
E50,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT",1
E51,uploadStaticsToDB() onResult type = <*> obj=<*>,1
E52,uploadStaticsToDB failed message=<*>,1
E53,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>",1
E54,InsertCallBack() onSuccess type = <*> data=<*>,1
E55,InsertEvent success begin:<*> end:<*>,1
E56,setWriteDBLastDataMinute=<*>,1
E57,setWriteDBLastDataMinute success,1
E58,flush2DB result success,1
E59,theDayChanged <*>,1
E60,initEnviroument,1
E61,getStepCounterStatus,1
E62,getStepCounterStatus= <*>,1
E63,reStartStepCounter,1
E64,registersensorsuccess: <*>,1
E65,clear(),1
E66,tryToRecordAsBasicStepData bWrite <*>,1
E67,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>,1
E68,setDiffTotalSteps=<*>,1
E69,<*>|<*>|<*>|<*>,1
E70,reload : <*> restar <*>,1
E71,next day:<*>,1
E72,setGoalNotifiShownRecord <*> <*>,1
E73,closeNotification...,1
E74,deleteHealthNotification(),1
E75,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",1
