EventID,EventTemplate,Occurrence
E1,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",166
E2,Cocoa scripting error for '<*>': four character codes must be four characters long.,71
E3,AppleCamIn::systemWakeCall - messageType = <*>,56
E4,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
E5,Thermal pressure state: <*> Memory pressure state: <*>,39
E6,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
E7,"CCFile::captureLogRun Skipping current file Dir file [<*>,<*>,<*>]-<*>, Current File [<*>,<*>,<*>]-<*>",31
E8,<*>(<*>) deny network-outbound <*>,29
E9,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
E10,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
E11,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
E12,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
E13,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
E14,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
E15,"CCFile::copyFile fileName is [<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>",21
E16,AppleCamIn::wakeEventHandlerThread,20
E17,en0: channel changed to <*>,20
E18,button report: <*>,20
E19,Location icon should now be in state 'Inactive',20
E20,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>.,20
E21,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
E22,FA||Url||taskID[<*>] dealloc,17
E23,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
E24,Location icon should now be in state 'Active',17
E25,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
E26,CCFile::captureLog,17
E27,ARPT: <*>: <*>::powerChange: System Sleep,17
E28,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],16
E29,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
E30,en0: BSSID changed to <*>,16
E31,<*>::setAwdlAutoMode Resuming AWDL,15
E32,<*> successfully changed NAT64 ifstate from <*> to <*>,15
E33,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>",15
E34,Previous sleep cause: <*>,15
E35,<*>::prePCIWake - power up complete - took <*> us,15
E36,"Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",15
E37,Received Capture Event,15
E38,AppleCamIn::handleWakeEvent_gated,15
E39,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,14
E40,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
E41,KeychainGetICDPStatus: keychain: <*>,14
E42,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,13
E43,Error returned from iconservicesagent: (<*>),13
E44,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],12
E45,ARPT: <*>: <*>::platformWoWEnable: WWEN[enable],12
E46,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
E47,USBMSC Identifier (non-unique): <*>,12
E48,ARPT: <*>: <*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
E49,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
E50,<*>::<*> - retries = <*>,11
E51,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
E52,RTC: PowerByCalendarDate setting ignored,11
E53,Bluetooth -- LE is supported - Disable LE meta event,11
E54,[<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (<*> key) at <*> line <*>,11
E55,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
E56,<*>::<*>::postMessage bssid changed,10
E57,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*>,10
E58,############################## _getSysMsgList,10
E59,jemmytest,10
E60,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
E61,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
E62,"PM response took <*> ms (<*>, powerd)",9
E63,AirPort: Link Up on awdl0,9
E64,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
E65,ASL Sender Statistics,9
E66,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
E67,<*>: IPv6 address <*> has no prefix,9
E68,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
E69,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
E70,Unrecognized attribute value: t:AbchPersonItemType,8
E71,<*> : BTLE scanner Powered On,8
E72,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),8
E73,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
E74,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,8
E75,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,8
E76,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,8
E77,KeychainGetICDPStatus: status: off,8
E78,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",7
E79,"setting hostname to ""<*>""",7
E80,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
E81,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,7
E82,ARPT: <*>: AQM agg results <*> len hi/lo: <*> BAbitmap(<*>) <*>,7
E83,"Setting BTCoex Config: <*>, <*>, <*>, <*>",7
E84,network changed: <*>(<*>) <*>(<*>) DNS! Proxy SMB,7
E85,Captive: CNPluginHandler en0: Authenticated,7
E86,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,7
E87,<*> : Scanning mode Contacts Only,7
