LogMessage,LogStatement,LogTemplate,LogTemplate_fromLS
"2016-09-28 04:30:30, Info                  CBS    Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll
","log_printf(""Loaded Servicing Stack v%s with Core: %s"")",Loaded Servicing Stack <*> with Core: <*>.dll,Loaded Servicing Stack v<*> with Core: <*>
"2016-09-28 04:30:31, Info                  CSI    00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
","log_printf(""WcpInitialize (wcp.dll version %s) called (stack @%p @%p @%p @%p @%p @%p)"")",<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>)
"2016-09-28 04:30:31, Info                  CSI    00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)
","log_printf(""WcpInitialize (wcp.dll version %s) called (stack @%s @%s @%s @%s @%s @%s)"")",<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>)
"2016-09-28 04:30:31, Info                  CSI    00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f)
","log_printf(""WcpInitialize (wcp.dll version %s) called (stack @%p @%p @%p @%p @%p @%p)"")",<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>)
"2016-09-28 04:30:31, Info                  CBS    Ending TrustedInstaller initialization.
","log_printf(""Ending TrustedInstaller initialization."")",Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.
"2016-09-28 04:30:31, Info                  CBS    Starting the TrustedInstaller main loop.
","log_printf(""Starting the TrustedInstaller main loop."")",Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.
"2016-09-28 04:30:31, Info                  CBS    TrustedInstaller service starts successfully.
","log_printf(""TrustedInstaller service starts successfully."")",TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.
"2016-09-28 04:30:31, Info                  CBS    SQM: Initializing online with Windows opt-in: False
","log_printf(""SQM: Initializing online with Windows opt-in: %s"", ""False"")",SQM: Initializing online with Windows opt-in: <*>,SQM: Initializing online with Windows opt-in: <*>
"2016-09-28 04:30:31, Info                  CBS    SQM: Cleaning up report files older than 10 days.
","log_printf(""SQM: Cleaning up report files older than %d days."")",SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than <*> days.
"2016-09-28 04:30:31, Info                  CBS    SQM: Requesting upload of all unsent reports.
","log_printf(""SQM: Requesting upload of all unsent reports."")",SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.
"2016-09-28 04:30:31, Info                  CBS    SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]
","log_printf(""SQM: Failed to start upload with file pattern: %s, flags: %d [HRESULT = %d - E_FAIL]"")","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
"2016-09-28 04:30:31, Info                  CBS    SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
","log_printf(""SQM: Failed to start standard sample upload. [HRESULT = %d - E_FAIL]"")",SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
"2016-09-28 04:30:31, Info                  CBS    SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6
","log_printf(""SQM: Queued %d file(s) for upload with pattern: %s, flags: %d"")","SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
"2016-09-28 04:30:31, Info                  CBS    SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL]
","log_printf(""SQM: Warning: Failed to upload all unsent reports. [HRESULT = %d - E_FAIL]"")",SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
"2016-09-28 04:30:31, Info                  CBS    No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.
","log_printf(""No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."")","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
"2016-09-28 04:30:31, Info                  CBS    NonStart: Checking to ensure startup processing was not required.
","log_printf(""NonStart: Checking to ensure startup processing was not required."")",NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.
"2016-09-28 04:30:31, Info                  CSI    00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90
","log_printf(""IAdvancedInstallerAwareStore_ResolvePendingTransactions (call %d) (flags = %08x, progress = %p, phase = %d, pdwDisposition = %p)"", call_number, flags, progress, phase, pdwDisposition)","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>","IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>8x, progress = <*>, phase = <*>, pdwDisposition = <*>)"
"2016-09-28 04:30:31, Info                  CSI    00000005 Creating NT transaction (seq 1), objectname [6]""(null)""
","log_printf(""Creating NT transaction (seq %d), objectname [%d]\""%s\"""", 1, 6, ""(null)"")","<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)""","Creating NT transaction (seq <*>), objectname [<*>]\"
"2016-09-28 04:30:31, Info                  CSI    00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214
","log_printf(""Created NT transaction (seq %d) result 0x%08X, handle @0x%p"")","<*> Created NT transaction (seq <*>) result <*>, handle @<*>","Created NT transaction (seq <*>) result 0x<*>8X, handle @0x<*>"
"2016-09-28 04:30:31, Info                  CSI    00000007@2016/9/27:20:30:31.462 CSI perf trace:
","log_printf(""CSI perf trace"")",<*> CSI perf trace:,CSI perf trace
"2016-09-28 04:30:31, Info                  CBS    NonStart: Success, startup processing not required as expected.
","log_printf(""NonStart: %s, startup processing not required as expected."")","NonStart: Success, startup processing not required as expected.","NonStart: <*>, startup processing not required as expected."
"2016-09-28 04:30:31, Info                  CBS    Startup processing thread terminated normally
","log_printf(""Startup processing thread terminated normally"")",Startup processing thread terminated normally,Startup processing thread terminated normally
"2016-09-28 04:30:31, Info                  CSI    00000008 CSI Store 4991456 (0x00000000004c29e0) initialized
","log_printf(""CSI Store %d (%s) initialized"", 4991456, ""0x00000000004c29e0"")",<*> CSI Store <*> (<*>) initialized,CSI Store <*> (<*>) initialized
"2016-09-28 04:30:31, Info                  CBS    Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.
","log_printf(""Session: %s initialized by client %s"")",Session: <*> initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>
"2016-09-28 04:30:31, Info                  CBS    Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.
","log_printf(""Session: %s initialized by client %s"", ""30546173_4262462443"", ""WindowsUpdateAgent"")",Session: <*> initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>
"2016-09-28 04:30:31, Info                  CBS    Warning: Unrecognized packageExtended attribute.
","log_printf(""Warning: Unrecognized packageExtended attribute."")",Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.
"2016-09-28 04:30:31, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
","log_printf(""Expecting attribute name [HRESULT = %d - CBS_E_MANIFEST_INVALID_ITEM]"", 0x800f080d)",Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"2016-09-28 04:30:31, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
","log_printf(""Failed to get next element [HRESULT = %d - CBS_E_MANIFEST_INVALID_ITEM]"", 0x800f080d)",Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"2016-09-28 04:30:31, Info                  CBS    Warning: Unrecognized packageExtended attribute.
","log_printf(""Warning: Unrecognized packageExtended attribute."")",Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.
"2016-09-28 04:30:31, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
","log_printf(""Expecting attribute name [HRESULT = %d - CBS_E_MANIFEST_INVALID_ITEM]"", 0x800f080d)",Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"2016-09-28 04:30:31, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
","log_printf(""Failed to get next element [HRESULT = %d - CBS_E_MANIFEST_INVALID_ITEM]"", 0x800f080d)",Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"2016-09-28 04:30:31, Info                  CBS    Warning: Unrecognized packageExtended attribute.
","log_printf(""Warning: Unrecognized packageExtended attribute."")",Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.
"2016-09-28 04:30:31, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
","log_printf(""Expecting attribute name [HRESULT = %d - CBS_E_MANIFEST_INVALID_ITEM]"", 0x800f080d)",Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
