LogMessage,LoggingStatement,LogTemplate,LogTemplate_fromLS
"03-17 16:13:38.811  1702  2395 D WindowManager: printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false
","Log.d(TAG, ""printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"");","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
"03-17 16:13:38.819  1702  8671 D PowerManagerService: acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227
","Log.d(TAG, ""acquire lock=%d, flags=0x%x, tag=\""%s\"", name=%s, ws=%s, uid=%d, pid=%d"", lock, flags, tag, name, ws, uid, pid);","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=0x<*>, tag=\"
"03-17 16:13:38.820  1702  8671 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%suserId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId);","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:38.839  1702  2113 V WindowManager: Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
","Log.v(TAG, ""Skipping AppWindowToken{"" + appWindowToken + ""} -- going to hide"");",Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{
"03-17 16:13:38.859  2227  2227 D TextView: visible is system.time.showampm
","Log.d(""TextView"", ""visible is "" + system.time.showampm);",visible is <*>,TextView
"03-17 16:13:38.861  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.869  2227  2227 D TextView: visible is system.charge.show
","Log.d(TAG, ""visible is "" + visible);",visible is <*>,visible is 
"03-17 16:13:38.871  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.875  2227  2227 D TextView: visible is system.call.count gt 0
","Log.d(""TextView"", ""visible is system.call.count gt 0"");",visible is <*> gt <*>,TextView
"03-17 16:13:38.877  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.881  2227  2227 D TextView: visible is system.message.count gt 0
","Log.d(TAG, ""visible is system.message.count gt 0"");",visible is <*> gt <*>,visible is system.message.count gt 0
"03-17 16:13:38.882  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.887  2227  2227 D TextView: visible is system.ownerinfo.show
","Log.d(TAG, ""visible is "" + system.ownerinfo.show);",visible is <*>,visible is 
"03-17 16:13:38.888  2227  2227 D TextView: mVisiblity.getValue is false
","Log.d(TAG, ""mVisiblity.getValue is false"");",mVisiblity.getValue is <*>,mVisiblity.getValue is false
"03-17 16:13:38.905  1702 10454 D PowerManagerService: release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227
","Log.d(TAG, ""release:lock=%s, flg=0x%s, tag=\""%s\"", name=%s\"", ws=%s, uid=%d, pid=%d"", lock, flg, tag, name, ws, uid, pid);","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=0x<*>, tag=\"
"03-17 16:13:38.907  1702 10454 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%d,auto=%d,adj=%fuserId=%d"");","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x<*>,uasummary=0x<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:38.915  1702  3693 V WindowManager: Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
","Log.v(TAG, ""Skipping AppWindowToken{"" + appWindowToken + ""} -- going to hide"");",Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{
"03-17 16:13:38.928  2227  2227 I StackScrollAlgorithm: updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0
","Log.i(TAG, ""updateClipping isOverlap:%b, getTopPadding=%.1f, Translation=%.1f"", false, 333.0, -24.0);","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=%.1f, Translation=%.1f"
"03-17 16:13:38.928  2227  2227 I StackScrollAlgorithm: updateDimmedActivatedHideSensitive overlap:false
","Log.i(TAG, ""updateDimmedActivatedHideSensitive overlap:"" + overlap);",updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive overlap:
"03-17 16:13:38.935  1702  3697 W ActivityManager: getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output
","Log.w(""ActivityManager"", ""getRunningAppProcesses: caller %d does not hold REAL_GET_TASKS; limiting output"", 10113);",getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,ActivityManager
"03-17 16:13:38.936  1702 14638 D PowerManagerService: release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702
","Log.d(TAG, ""release:lock=%s, flg=0x%s, tag=\""%s\"", name=\""%s\"", ws=WorkSource{%s}, uid=%d, pid=%d"", lock, flg, tag, name, ws, uid, pid);","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=0x<*>, tag=\"
