Log,EventTemplate,LoggingStatement,LogTemplate
"- 1117838570 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.50.675872 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected
",instruction cache parity error corrected,"Logging statement: logger.info(""instruction cache parity error corrected"")",instruction cache parity error corrected
"- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.276129 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected
",instruction cache parity error corrected,"Logging statement: logger.info(""instruction cache parity error corrected"")",instruction cache parity error corrected
"- 1117838976 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.49.36.156884 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected
",instruction cache parity error corrected,"Logging statement: logger.info(""instruction cache parity error corrected"")",instruction cache parity error corrected
"- 1117838978 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.49.38.026704 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected
",instruction cache parity error corrected,"Logging statement: logger.info(""instruction cache parity error corrected"")",instruction cache parity error corrected
"- 1117842440 2005.06.03 R23-M0-NE-C:J05-U01 2005-06-03-16.47.20.730545 R23-M0-NE-C:J05-U01 RAS KERNEL INFO 63543 double-hummer alignment exceptions
",<*> double-hummer alignment exceptions,"Logging statement: logger.info(""{} double-hummer alignment exceptions"", ""63543"")",<*> double-hummer alignment exceptions
"- 1117842974 2005.06.03 R24-M0-N1-C:J13-U11 2005-06-03-16.56.14.254137 R24-M0-N1-C:J13-U11 RAS KERNEL INFO 162 double-hummer alignment exceptions
",<*> double-hummer alignment exceptions,"Logging statement: logger.info(""162 double-hummer alignment exceptions"")",162 double-hummer alignment exceptions
"- 1117843015 2005.06.03 R21-M1-N6-C:J08-U11 2005-06-03-16.56.55.309974 R21-M1-N6-C:J08-U11 RAS KERNEL INFO 141 double-hummer alignment exceptions
",<*> double-hummer alignment exceptions,"Logging statement: logger.info(""141 double-hummer alignment exceptions"")",141 double-hummer alignment exceptions
"- 1117848119 2005.06.03 R16-M1-N2-C:J17-U01 2005-06-03-18.21.59.871925 R16-M1-N2-C:J17-U01 RAS KERNEL INFO CE sym 2, at 0x0b85eee0, mask 0x05
","CE sym <*>, at <*>, mask <*>","Logging statement: logger.info(""CE sym {}, at {}, mask {}"", ""2"", ""0x0b85eee0"", ""0x05"")","CE sym <*>, at <*>, mask <*>"
"APPREAD 1117869872 2005.06.04 R04-M1-N4-I:J18-U11 2005-06-04-00.24.32.432192 R04-M1-N4-I:J18-U11 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569
",ciod: failed to read message prefix on control stream (CioStream socket to <*>,"Logging statement: logger.error(""ciod: failed to read message prefix on control stream (CioStream socket to {}:{}"")",ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
"APPREAD 1117869876 2005.06.04 R27-M1-N4-I:J18-U01 2005-06-04-00.24.36.222560 R27-M1-N4-I:J18-U01 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370
",ciod: failed to read message prefix on control stream (CioStream socket to <*>,"Logging statement: logger.error(""ciod: failed to read message prefix on control stream (CioStream socket to {}:{}"")",ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
