Log,EventTemplate,LoggingStatement,LogTemplate
"20171223-22:15:29:606|Step_LSC|30002312|onStandStepChanged 3579
",onStandStepChanged <*>,"Logging statement: logger.info(""onStandStepChanged <*>"", ""3579"")",onStandStepChanged <*>
"20171223-22:15:29:615|Step_LSC|30002312|onExtend:1514038530000 14 0 4
",onExtend:<*> <*> <*> <*>,"Logging statement: logger.info(""onExtend:{} {} {} {}"", ""1514038530000"", ""14"", ""0"", ""4"")",onExtend:<*> <*> <*> <*>
"20171223-22:15:29:633|Step_StandReportReceiver|30002312|onReceive action: android.intent.action.SCREEN_ON
",onReceive action: android.intent.action.SCREEN_ON,"Logging statement: logger.info(""onReceive action: <*>"", ""android.intent.action.SCREEN_ON"")",onReceive action: <*>
"20171223-22:15:29:635|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.SCREEN_ON
",processHandleBroadcastAction action:android.intent.action.SCREEN_ON,"Logging statement: logger.info(""processHandleBroadcastAction action:<*>"", ""android.intent.action.SCREEN_ON"")",processHandleBroadcastAction action:<*>
"20171223-22:15:29:635|Step_StandStepCounter|30002312|flush sensor data
",flush sensor data,"Logging statement: logger.info(""flush sensor data"")",flush sensor data
"20171223-22:15:29:635|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404
",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"Logging statement: logger.debug(""getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""6993"", ""548365"", ""8661"", ""12266"", ""27164404"")",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>
"20171223-22:15:29:636|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954
",setTodayTotalDetailSteps=<*>,"Logging statement: logger.debug(""setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7007"", ""548365"", ""8661"", ""12361"", ""27173954"")",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>
"20171223-22:15:29:636|Step_LSC|30002312|onStandStepChanged 3579
",onStandStepChanged <*>,"Logging statement: logger.info(""onStandStepChanged <*>"", ""3579"")",onStandStepChanged <*>
"20171223-22:15:29:645|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126775
",calculateCaloriesWithCache totalCalories=<*>,"Logging statement: logger.debug(""calculateCaloriesWithCache totalCalories=<*>"", ""126775"")",calculateCaloriesWithCache totalCalories=<*>
"20171223-22:15:29:648|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240
",calculateAltitudeWithCache totalAltitude=<*>,"Logging statement: logger.debug(""calculateAltitudeWithCache totalAltitude=<*>"", ""240"")",calculateAltitudeWithCache totalAltitude=<*>
