Log,EventTemplate,LoggingStatement,LogTemplate
"Jul  1 09:00:55 calvisitor-10-105-160-95 kernel[0]: IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0
",<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,"Logging statement: logger.debug(""IOThunderboltSwitch<{}>({})::listenerCallback - Thunderbolt HPD packet for route = {} port = {} unplug = {}"", ""0"", ""0x0"", ""0x0"", ""11"", ""0"")",IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
"Jul  1 09:01:05 calvisitor-10-105-160-95 com.apple.CDScheduler[43]: Thermal pressure state: 1 Memory pressure state: 0
",Thermal pressure state: <*> Memory pressure state: <*>,"Logging statement: logger.debug(""Thermal pressure state: {} Memory pressure state: {}"", 1, 0)",Thermal pressure state: <*> Memory pressure state: <*>
"Jul  1 09:01:06 calvisitor-10-105-160-95 QQ[10018]: FA||Url||taskID[2019352994] dealloc
",FA||Url||taskID[<*>] dealloc,"Logging statement: logger.info(""FA||Url||taskID[{}] dealloc"", ""2019352994"")",FA||Url||taskID[<*>] dealloc
"Jul  1 09:02:26 calvisitor-10-105-160-95 kernel[0]: ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
",ARPT: <*>: <*>::syncPowerState: WWEN[enabled],"Logging statement: logger.info(""ARPT: {}: AirPort_Brcm43xx::syncPowerState: {}"", ""620701.011328"", ""WWEN[enabled]"")",ARPT: <*>: AirPort_Brcm43xx::syncPowerState: <*>
"Jul  1 09:02:26 authorMacBook-Pro kernel[0]: ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
",ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],"Logging statement: logger.debug(""ARPT: {}: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]"", ""620702.879952"")",ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
"Jul  1 09:03:11 calvisitor-10-105-160-95 mDNSResponder[91]: mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF)
",mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),"Logging statement: logger.warning(""mDNS_DeregisterInterface: Frequent transitions for interface {} ({})"", ""awdl0"", ""FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF"")",mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
"Jul  1 09:03:13 calvisitor-10-105-160-95 kernel[0]: ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,
","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,","Logging statement: logger.info(""ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: {}, 'ExternalConnected': {}, 'TimeRemaining': {}"", ""Normal Sleep"", ""Yes"", 0)","ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>"
"Jul  1 09:04:33 calvisitor-10-105-160-95 kernel[0]: ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096
","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","Logging statement: logger.debug(""ARPT: {}: wl0: wl_update_tcpkeep_seq: Original Seq: {}, Ack: {}, Win size: {}"", ""620750.434035"", ""3226706533"", ""3871687177"", ""4096"")","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
"Jul  1 09:04:33 authorMacBook-Pro kernel[0]: ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload
",ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,"Logging statement: logger.info(""ARPT: Wake Reason: Wake on Scan offload"")",ARPT: Wake Reason: Wake on Scan offload
"Jul  1 09:04:37 authorMacBook-Pro symptomsd[215]: __73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
",<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,"Logging statement: logger.error(""unexpected switch value {}"", 2)",unexpected switch value <*>
"Jul  1 09:12:20 authorMacBook-Pro kernel[0]: IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
",<*>::setAwdlAutoMode Resuming AWDL,"Logging statement: logger.debug(""IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL"")",IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
"Jul  1 09:12:21 calvisitor-10-105-160-95 symptomsd[215]: __73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
",<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,"Logging statement: logger.error(""unexpected switch value {}"", 2)",unexpected switch value <*>
"Jul  1 09:18:16 calvisitor-10-105-160-95 kernel[0]: ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs
","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs","Logging statement: logger.debug(""ARPT: {}: {}: MDNS: {} SRV Recs, {} TXT Recs"", ""620896.311264"", ""wl0"", ""0"", ""0"")","ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs"
"Jul  1 09:19:03 calvisitor-10-105-160-95 kernel[0]: AppleCamIn::systemWakeCall - messageType = 0xE0000340
",AppleCamIn::systemWakeCall - messageType = <*>,"Logging statement: logger.debug(""AppleCamIn::systemWakeCall - messageType = {}"", ""0xE0000340"")",AppleCamIn::systemWakeCall - messageType = <*>
"Jul  1 09:19:03 authorMacBook-Pro configd[53]: setting hostname to ""authorMacBook-Pro.local""
","setting hostname to ""<*>""","Logging statement: logger.info(""Setting hostname to '{}'"", ""authorMacBook-Pro.local"")",Setting hostname to '<*>'
"Jul  1 09:19:13 calvisitor-10-105-160-95 com.apple.cts[258]: com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.
","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","Logging statement: logger.warning(""scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring."")","scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring."
"Jul  1 09:21:57 authorMacBook-Pro corecaptured[31174]: CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7
",CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,"Logging statement: logger.debug(""CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {}"", 7)",CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>
"Jul  1 09:21:58 calvisitor-10-105-160-95 com.apple.WebKit.WebContent[25654]: [09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
",[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,"Logging statement: logger.debug(""[{}] crabsFlumeHostAvailable: [{}] Byte flume reports host available again."", ""09:21:58.929"", ""0x7f961cf08cf0"")",[<*>] crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.
"Jul  1 09:22:02 calvisitor-10-105-160-95 com.apple.cts[258]: com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.
","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","Logging statement: logger.warning(""com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring."")","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring."
"Jul  1 09:22:25 calvisitor-10-105-160-95 kernel[0]: IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
",<*>::setAwdlAutoMode Resuming AWDL,"Logging statement: logger.debug(""IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL"")",IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
"Jul  1 09:23:26 calvisitor-10-105-160-95 kernel[0]: AirPort: Link Down on awdl0. Reason 1 (Unspecified).
",AirPort: Link Down on awdl0. Reason <*> (Unspecified).,"Logging statement: logger.warning(""AirPort: Link Down on awdl0. Reason {} (Unspecified)."", 1)",AirPort: Link Down on awdl0. Reason <*> (Unspecified).
"Jul  1 09:23:26 calvisitor-10-105-160-95 kernel[0]: IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0
",<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,"Logging statement: logger.debug(""IOThunderboltSwitch<{}>({})::listenerCallback - Thunderbolt HPD packet for route = {} port = {} unplug = {}"", ""0"", ""0x0"", ""0x0"", ""11"", ""0"")",IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
"Jul  1 09:24:13 calvisitor-10-105-160-95 kernel[0]: PM response took 2010 ms (54, powerd)
","PM response took <*> ms (<*>, powerd)","Logging statement: logger.info(""PM response took {} ms ({}, powerd)"", 2010, 54)","PM response took <*> ms (<*>, powerd)"
"Jul  1 09:25:21 calvisitor-10-105-160-95 com.apple.cts[258]: com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.
","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","Logging statement: logger.warning(""com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {0} seconds. Ignoring."", 438666)","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {0} seconds. Ignoring."
"Jul  1 09:25:45 calvisitor-10-105-160-95 kernel[0]: ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64
","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI <*>","Logging statement: logger.info(""ARPT: {}: wl0: Roamed or switched channel, reason #{}, bssid {}, last RSSI {}"", ""621131.293163"", ""8"", ""5c:50:15:4c:18:13"", ""-64"")","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI <*>"
"Jul  1 09:25:59 calvisitor-10-105-160-95 kernel[0]: ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,
","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,","Logging statement: logger.info(""ARPT: {}: IOPMPowerSource Information: onSleep,  SleepType: {}, 'ExternalConnected': {}, 'TimeRemaining': {}"", ""621145.554555"", ""Normal Sleep"", ""Yes"", ""0"")","ARPT: <*>: IOPMPowerSource Information: onSleep,  SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>"
"Jul  1 09:26:41 calvisitor-10-105-160-95 kernel[0]: ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096
","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","Logging statement: logger.debug(""ARPT: {}: wl0: wl_update_tcpkeep_seq: Original Seq: {}, Ack: {}, Win size: {}"", ""621146.080894"", ""3014995849"", ""2590995288"", ""4096"")","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
"Jul  1 09:26:43 calvisitor-10-105-160-95 networkd[195]: nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000
",<*> successfully changed NAT64 ifstate from <*> to <*>,"Logging statement: logger.debug(""nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {} to {}"", ""0x4"", ""0x8000000000000000"")",nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
"Jul  1 09:26:47 calvisitor-10-105-160-95 com.apple.cts[258]: com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.
","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","Logging statement: logger.warning(""com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds. Ignoring."")","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds. Ignoring."
"Jul  1 09:27:01 calvisitor-10-105-160-95 com.apple.cts[258]: com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.
","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","Logging statement: logger.warning(""com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds. Ignoring."")","com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds. Ignoring."
"Jul  1 09:27:06 calvisitor-10-105-160-95 kernel[0]: IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)
","<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)","Logging statement: logger.debug(""IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)"")","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)"
"Jul  1 09:28:41 authorMacBook-Pro netbiosd[31198]: network_reachability_changed : network is not reachable, netbiosd is shutting down
","network_reachability_changed : network is not reachable, netbiosd is shutting down","Logging statement: logger.warning(""network_reachability_changed : network is not reachable, netbiosd is shutting down"")","network_reachability_changed : network is not reachable, netbiosd is shutting down"
"Jul  1 09:28:41 authorMacBook-Pro corecaptured[31206]: CCFile::captureLogRun() Exiting CCFile::captureLogRun
",CCFile::captureLogRun() Exiting CCFile::captureLogRun,"Logging statement: logger.debug(""CCFile::captureLogRun() Exiting CCFile::captureLogRun"")",CCFile::captureLogRun() Exiting CCFile::captureLogRun
