Log,EventTemplate,LoggingStatement,LogTemplate
"081109 205035 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100
",BLOCK* NameSystem.allocateBlock: <*> <*>,"Logging statement: logger.info(""BLOCK* NameSystem.allocateBlock: {}. {}"", ""/user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590"", ""blk_-1727475099218615100"")",BLOCK* NameSystem.allocateBlock: <*>. <*>
"081109 205315 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
",BLOCK* NameSystem.allocateBlock: <*> <*>,"Logging statement: logger.info(""BLOCK* NameSystem.allocateBlock: {}. {}"", ""/user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742"", ""blk_-7878121102358435702"")",BLOCK* NameSystem.allocateBlock: <*>. <*>
"081109 205858 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435
",BLOCK* NameSystem.allocateBlock: <*> <*>,"Logging statement: logger.info(""BLOCK* NameSystem.allocateBlock: {}. {}"", ""/user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487"", ""blk_-5319073033164653435"")",BLOCK* NameSystem.allocateBlock: <*>. <*>
"081109 212245 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775
",BLOCK* NameSystem.allocateBlock: <*> <*>,"Logging statement: logger.info(""BLOCK* NameSystem.allocateBlock: {}. {}"", ""/user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648"", ""blk_2513940824125131775"")",BLOCK* NameSystem.allocateBlock: <*>. <*>
"081109 212317 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691
",BLOCK* NameSystem.allocateBlock: <*> <*>,"Logging statement: logger.info(""BLOCK* NameSystem.allocateBlock: {}. {}"", ""/user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866"", ""blk_-1282453782148343691"")",BLOCK* NameSystem.allocateBlock: <*>. <*>
"081109 213847 2552 INFO dfs.DataNode$DataXceiver: 10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80
",<*> Served block <*> to <*>,"Logging statement: logger.info(""Served block {} to {}"", ""blk_-7724713468912166542"", ""/10.251.203.80"")",Served block <*> to <*>
"081109 213907 2497 INFO dfs.DataNode$DataXceiver: 10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229
",<*> Served block <*> to <*>,"Logging statement: logger.info(""Served block {} to {}"", ""blk_-3358448553918665902"", ""/10.251.91.229"")",Served block <*> to <*>
"081109 213908 2549 INFO dfs.DataNode$DataXceiver: 10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192
",<*> Served block <*> to <*>,"Logging statement: logger.info(""Served block {} to {}"", ""blk_-5341992729755584578"", ""/10.251.39.192"")",Served block <*> to <*>
"081109 214009 2594 INFO dfs.DataNode$DataXceiver: 10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147
",<*> Served block <*> to <*>,"Logging statement: logger.info(""Served block {} to {}"", ""blk_3166960787499091856"", ""/10.251.43.147"")",Served block <*> to <*>
"081109 214043 2561 WARN dfs.DataNode$DataXceiver: 10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:
",<*>:Got exception while serving <*> to <*>:,"Logging statement: logger.warn(""{}:Got exception while serving {} to {}"", ""10.251.30.85:50010"", ""blk_-2918118818249673980"", ""/10.251.90.64"")",<*>:Got exception while serving <*> to <*>
"081109 214402 2677 WARN dfs.DataNode$DataXceiver: 10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:
",<*>:Got exception while serving <*> to <*>:,"Logging statement: logger.warn(""{}:Got exception while serving {} to {}"", ""10.251.126.255:50010"", ""blk_8376667364205250596"", ""/10.251.91.159"")",<*>:Got exception while serving <*> to <*>
