Log,EventTemplate,LoggingStatement,LogTemplate
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing view acls to: yarn,curi
",Changing view acls to: <*>,"Logging statement: logger.info(""Changing view acls to: {}, {}"", ""yarn"", ""curi"")","Changing view acls to: <*>, <*>"
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
",Changing modify acls to: <*>,"Logging statement: logger.info(""Changing modify acls to: {},{}"", ""yarn"", ""curi"")","Changing modify acls to: <*>,<*>"
"17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","Logging statement: logger.info(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({}); users with modify permissions: Set({})"", ""yarn, curi"", ""yarn, curi"")",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi
",Changing view acls to: <*>,"Logging statement: logger.info(""Changing view acls to: {}, {}"", ""yarn"", ""curi"")","Changing view acls to: <*>, <*>"
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
",Changing modify acls to: <*>,"Logging statement: logger.info(""Changing modify acls to: {}, {}"", ""yarn"", ""curi"")","Changing modify acls to: <*>, <*>"
"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","Logging statement: logger.info(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({}); users with modify permissions: Set({})"", ""yarn, curi"", ""yarn, curi"")",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
"17/06/09 20:10:41 INFO util.Utils: Successfully started service 'sparkExecutorActorSystem' on port 55904.
",Successfully started service 'sparkExecutorActorSystem' on port <*>.,"Logging statement: logger.info(""Successfully started service '{}' on port {}"", ""sparkExecutorActorSystem"", 55904)",Successfully started service '<*>' on port <*>
"17/06/09 20:10:41 INFO storage.MemoryStore: MemoryStore started with capacity 17.7 GB
",MemoryStore started with capacity <*> GB,"Logging statement: logger.info(""MemoryStore started with capacity {}"", ""17.7 GB"")",MemoryStore started with capacity <*>
"17/06/09 20:10:42 INFO util.Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.
",Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,"Logging statement: logger.info(""Successfully started service '{}' on port {}"", ""org.apache.spark.network.netty.NettyBlockTransferService"", 40984)",Successfully started service '<*>' on port <*>
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id
","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","Logging statement: logger.info(""{} is deprecated. Instead, use {}"", ""mapred.task.id"", ""mapreduce.task.attempt.id"")","<*> is deprecated. Instead, use <*>"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap
","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","Logging statement: logger.info(""{}.{} is deprecated. Instead, use {}"", ""mapred"", ""task.is.map"", ""mapreduce.task.ismap"")","<*>.<*> is deprecated. Instead, use <*>"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.job.id is deprecated. Instead, use mapreduce.job.id
","mapred.job.id is deprecated. Instead, use mapreduce.job.id","Logging statement: logger.info(""mapred.job.id is deprecated. Instead, use {}"", ""mapreduce.job.id"")","mapred.job.id is deprecated. Instead, use <*>"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.partition is deprecated. Instead, use mapreduce.task.partition
","mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","Logging statement: logger.info(""{}.{} is deprecated. Instead, use {}"", ""Configuration"", ""mapred.task.partition"", ""mapreduce.task.partition"")","<*>.<*> is deprecated. Instead, use <*>"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_28_piece0 stored as bytes in memory (estimated size 5.6 KB, free 409.8 KB)
","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Logging statement: logger.info(""Block {}_piece{} stored as bytes in memory (estimated size {}, free {})"", ""broadcast"", ""0"", ""5.6 KB"", ""409.8 KB"")","Block <*>_piece<*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:58 INFO output.FileOutputCommitter: Saved output of task 'attempt_201706092018_0024_m_000084_1141' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000084
",Saved output of task '<*>' to <*>,"Logging statement: logger.info(""Saved output of task {} to {}"", ""attempt_201706092018_0024_m_000084_1141"", ""hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000084"")",Saved output of task <*> to <*>
