Content,EventTemplate,Output
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>","<*> to <*>, stratum <*>"
