Content,EventTemplate,Output
"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [<*>, <*>, <*>]"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: <*>; users with modify permissions: <*>
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: <*>; users with modify permissions: <*>
Slf4jLogger started,Slf4jLogger started,<*> <*> started
Starting remoting,Starting remoting,<*>
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[akka.tcp://<*>@<*>]
Successfully started service 'sparkExecutorActorSystem' on port 55904.,Successfully started service 'sparkExecutorActorSystem' on port <*>.,Successfully started service '<*>' on port <*>.
MemoryStore started with capacity 17.7 GB,MemoryStore started with capacity <*> GB,<*> started with capacity <*>
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,Successfully started service '<*>' on port <*>.
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,Input split: <*>,hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,Input split: <*>,hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,Input split: <*>,hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
