Content,EventTemplate,Output
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>),<*> CMD (run-parts <*>)
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,<*>: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,[<*>]: No configuration change required
connection lost: 'Connection closed.',connection lost: 'Connection closed.',connection lost: '<*>'
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,<*>: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,[<*>]: No configuration change required
"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>@<*>, relay=#<*>#@localhost"
