Content,EventTemplate,Output
Invalid user chen from 202.100.179.208,Invalid user <*> from <*>,Invalid user <*> from <*>.
message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],message repeated <*> times: [ Failed password for <*> from <*> port <*>],[ Failed password for <*> from <*> port <*> ssh2]
PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>
PAM service(sshd) ignoring max retries; 6 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
input_userauth_request: invalid user pgadmin [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [preauth]
Failed password for invalid user pgadmin from 112.95.230.3 port 54087 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Invalid user support from 195.154.37.122,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 195.154.37.122 port 56539 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*> [preauth]
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*> [preauth]
Invalid user support from 103.207.39.165,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 103.207.39.165 port 58158 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2,Failed <*> for invalid user <*> from <*> port <*> <*>
PAM service(sshd) ignoring max retries; 5 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
PAM service(sshd) ignoring max retries; 5 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
input_userauth_request: invalid user default [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,PAM <*> more authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
Failed password for ftp from 5.188.10.180 port 54715 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for ftp from <*> port <*> ssh2
Invalid user support from 103.207.39.212,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 103.207.39.212 port 52644 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
message repeated 5 times: [ Failed password for root from 106.5.5.195 port 50719 ssh2],message repeated <*> times: [ Failed password for <*> from <*> port <*>],[ Failed password for <*> from <*> port <*> ssh2]
PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=106.5.5.195  user=root,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>
PAM service(sshd) ignoring max retries; 6 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
PAM service(sshd) ignoring max retries; 5 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
Invalid user support from 103.99.0.122,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 103.99.0.122 port 57317 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
PAM service(sshd) ignoring max retries; 5 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
Failed password for sshd from 103.99.0.122 port 51359 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for sshd from <*> port <*> ssh2
input_userauth_request: invalid user operator [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user operator from 103.99.0.122 port 53492 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for <*> user <*> from <*> port <*> <*>
Failed password for ftp from 103.99.0.122 port 56079 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for ftp from <*> port <*> ssh2
PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,PAM <*> more authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
Failed password for invalid user monitor from 103.99.0.122 port 59812 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Invalid user pi from 103.99.0.122,Invalid user <*> from <*>,Invalid user <*> from <*>.
Failed password for invalid user PlcmSpIp from 103.99.0.122 port 51966 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Failed password for invalid user Management from 103.99.0.122 port 55028 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user api [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user eoor from 187.141.143.180 port 45825 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user butter [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user butter from 187.141.143.180 port 48369 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Failed password for invalid user redhat from 187.141.143.180 port 49479 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user postgres [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user postgres from 187.141.143.180 port 54596 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user nagios [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [preauth]
Failed password for invalid user abc from 187.141.143.180 port 58106 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user vnc [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [preauth]
Failed password for invalid user vnc from 187.141.143.180 port 60547 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Failed password for git from 187.141.143.180 port 33532 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for git from <*> port <*> ssh2
Failed password for invalid user ghost from 187.141.143.180 port 34759 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Failed password for ftp from 187.141.143.180 port 36704 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for ftp from <*> port <*> ssh2
Invalid user support from 103.207.39.16,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 103.207.39.16 port 33310 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
Failed password for mysql from 187.141.143.180 port 51060 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for mysql from <*> port <*> ssh2
Failed password for mysql from 187.141.143.180 port 52586 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for mysql from <*> port <*> ssh2
Failed password for git from 187.141.143.180 port 53992 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for git from <*> port <*> ssh2
input_userauth_request: invalid user ingrid [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user jay from 187.141.143.180 port 60259 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user cyrus [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user cyrus from 187.141.143.180 port 33574 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user FILTER [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user FILTER from 104.192.3.34 port 33738 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for <*> user <*> from <*> port <*> <*>
Accepted password for fztu from 119.137.62.142 port 49116 ssh2,Accepted password for <*> from <*> port <*> ssh2,Accepted password for <*> from <*> port <*> <*>
Disconnecting: Too many authentication failures for admin [preauth],Disconnecting: Too many authentication failures for <*> [preauth],Disconnecting: Too many authentication failures for <*> [<*>]
PAM service(sshd) ignoring max retries; 6 > 3,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(<*>) ignoring max retries; <*> > <*>
Invalid user cheng from 202.100.179.208,Invalid user <*> from <*>,Invalid user <*> from <*>.
Failed password for git from 183.62.140.253 port 48527 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for git from <*> port <*> ssh2
Invalid user boot from 183.62.140.253,Invalid user <*> from <*>,Invalid user boot from <*>
input_userauth_request: invalid user sandeep [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for invalid user sandeep from 88.147.143.242 port 49316 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> <*>
Invalid user support from 103.99.0.122,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for invalid user support from 103.99.0.122 port 60735 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user support from <*> port <*> ssh2
fatal: Write failed: Connection reset by peer [preauth],fatal: Write failed: Connection reset by peer [preauth],fatal: Write failed: <*> [preauth]
Failed password for sshd from 103.99.0.122 port 49598 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for sshd from <*> port <*> ssh2
