Content,EventTemplate,Output
"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [TERM, HUP, INT]",Registered signal handlers for [<*>]
"Changing view acls to: yarn,curi",Changing view acls to: <*>,"Changing view acls to: <*>,<*>"
"Changing modify acls to: yarn,curi",Changing modify acls to: <*>,"Changing modify acls to: <*>,<*>"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
"Changing view acls to: yarn,curi",Changing view acls to: <*>,"Changing view acls to: <*>,<*>"
"Changing modify acls to: yarn,curi",Changing modify acls to: <*>,"Changing modify acls to: <*>,<*>"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[akka.tcp://<*>@<*>]
Successfully started service 'sparkExecutorActorSystem' on port 55904.,Successfully started service 'sparkExecutorActorSystem' on port <*>.,Successfully started service '<*>' on port <*>.
MemoryStore started with capacity 17.7 GB,MemoryStore started with capacity <*> GB,
Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,Connecting to driver: <*>,Connecting to driver: spark://<*>@<*>
Successfully registered with driver,Successfully registered with driver,Successfully registered with <*>
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,Successfully started service '<*>' on port <*>.
Trying to register BlockManager,Trying to register BlockManager,Trying to register <*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,Input split: <*>,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,Input split: <*>,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,Input split: <*>,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,Input split: <*>,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,Input split: <*>,Input split: hdfs://<*>/pjhe/logs/2kSOSP.log:<*>+<*>
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id","mapred.tip.id is deprecated. Instead, use mapreduce.task.id","<*> is deprecated. Instead, use <*>"
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","<*> is deprecated. Instead, use <*>"
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","<*>.task.is.<*> is deprecated. Instead, use <*>.task.<*>"
"mapred.job.id is deprecated. Instead, use mapreduce.job.id","mapred.job.id is deprecated. Instead, use mapreduce.job.id","<*> is deprecated. Instead, use <*>"
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","<*> is deprecated. Instead, use <*>."
"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)"
"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as values in memory (estimated size <*> B, free <*> KB)"
