Content,EventTemplate,Output
input_userauth_request: invalid user chen [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],message repeated <*> times: [ Failed password for <*> from <*> port <*>],[ Failed password for <*> from <*> port <*> ssh2]
input_userauth_request: invalid user pgadmin [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
input_userauth_request: invalid user utsims [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Invalid user support from 195.154.37.122,Invalid user <*> from <*>,Invalid user support from <*>
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*> [preauth]
Failed password for uucp from 195.154.37.122 port 59266 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for uucp from <*> port <*> ssh2
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],error: Received disconnect from <*>: <*>: <*> [preauth]
Invalid user support from 103.207.39.165,Invalid user <*> from <*>,Invalid user support from <*>
Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2,Failed <*> for invalid user <*> from <*> port <*> <*>
input_userauth_request: invalid user default [preauth],input_userauth_request: invalid user <*> [preauth],<*>: invalid user <*> [<*>]
Failed password for ftp from 5.188.10.180 port 54715 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for ftp from <*> port <*> ssh2
Invalid user support from 103.207.39.212,Invalid user <*> from <*>,Invalid user support from <*>
Failed password for uucp from 103.207.39.212 port 51528 ssh2,Failed password for <*> from <*> port <*> ssh2,Failed password for uucp from <*> port <*> ssh2
message repeated 5 times: [ Failed password for root from 106.5.5.195 port 50719 ssh2],message repeated <*> times: [ Failed password for <*> from <*> port <*>],[ Failed password for <*> from <*> port <*> ssh2]
Invalid user support from 103.99.0.122,Invalid user <*> from <*>,Invalid user support from <*>
