EventId,EventTemplate
E1,Component State Change: Component <*> is in the <*> state (HWID=<*>)
E2,clusterAddMember (command <*>)
E3,risBoot (command <*>)
E4,bootGenvmunix (command <*>)
E5,boot (command <*>)
E6,wait (command <*>)
E7,halt (command <*>)
E8,Command has completed successfully
E9,Targeting domains:<*> and nodes:<*> child of command <*>
E10,Targeting domains:<*> and nodes:<*>
E11,psu failure\ ambient=<*>
E12,"Temperature (<*>), exceeds warning threshold"
E13,ClusterFileSystem: There is no server for <*> domain <*>
E14,NIFF: node <*> detected a failed network connection on network <*> via interface <*>
E15,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
E16,Fan speeds ( <*> <*> <*> **** <*> <*> )
E17,Fan speeds ( <*> <*> <*> <*> <*> <*> )
E18,Command has been aborted
E19,power/control problem
E20,Link error
E21,Link in <*>
E22,Link <*>
E23,ServerFileSystem: ServerFileSystem domain <*> is full
E24,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>
E25,running
E26,blocked
E27,not responding
E28,configured out
E29,inconsistent nodesets <*> <*> <*> <*> <*> <*> <*> <*>
E30,active
E31,starting
E32,closing
E33,normal
E34,warning
E35,ambient=<*>
E36,critical
E37,Linkerror event <*> expired
E38,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <*>
E39,boot (command <*>) Error: HALT asserted\ cannot continue
E40,Failed subcommands <*>
E41,link errors remain current
E42,NIFF: node <*> has detected an available network connection on network <*> via interface <*>
