LineId,EventId,Content,EventTemplate
1,E1,onStandStepChanged 3579,onStandStepChanged <*>
2,E2,onExtend:1514038530000 14 0 4,onExtend:<*> <*> <*> <*>
3,E3,onReceive action: android.intent.action.SCREEN_ON,onReceive action: <*>
4,E4,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:<*>
5,E5,flush sensor data,flush sensor data
6,E6, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
7,E7,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
8,E1,onStandStepChanged 3579,onStandStepChanged <*>
9,E8,calculateCaloriesWithCache totalCalories=126775,calculateCaloriesWithCache totalCalories=<*>
10,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
11,E10,REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>
12,E2,onExtend:1514038530000 0 0 4,onExtend:<*> <*> <*> <*>
13,E1,onStandStepChanged 3579,onStandStepChanged <*>
14,E1,onStandStepChanged 3580,onStandStepChanged <*>
15,E2,onExtend:1514038530000 1 0 4,onExtend:<*> <*> <*> <*>
16,E6, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
17,E7,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
18,E8,calculateCaloriesWithCache totalCalories=126797,calculateCaloriesWithCache totalCalories=<*>
19,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
20,E10,REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>
21,E1,onStandStepChanged 3581,onStandStepChanged <*>
22,E2,onExtend:1514038531000 1 0 4,onExtend:<*> <*> <*> <*>
23,E6, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
24,E7,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
25,E8,calculateCaloriesWithCache totalCalories=126818,calculateCaloriesWithCache totalCalories=<*>
26,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
27,E10,REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>
28,E1,onStandStepChanged 3583,onStandStepChanged <*>
29,E2,onExtend:1514038531000 2 0 4,onExtend:<*> <*> <*> <*>
30,E6, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
31,E7,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
32,E8,calculateCaloriesWithCache totalCalories=126861,calculateCaloriesWithCache totalCalories=<*>
33,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
34,E10,REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>
35,E1,onStandStepChanged 3584,onStandStepChanged <*>
36,E2,onExtend:1514038532000 1 0 4,onExtend:<*> <*> <*> <*>
37,E6, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
38,E7,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
39,E8,calculateCaloriesWithCache totalCalories=126882,calculateCaloriesWithCache totalCalories=<*>
40,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
41,E10,REPORT : 7012 5006 150197 240,REPORT : <*> <*> <*> <*>
42,E1,onStandStepChanged 3585,onStandStepChanged <*>
43,E2,onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>
44,E6, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
45,E7,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
46,E8,calculateCaloriesWithCache totalCalories=126904,calculateCaloriesWithCache totalCalories=<*>
47,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
48,E10,REPORT : 7013 5007 150218 240,REPORT : <*> <*> <*> <*>
49,E1,onStandStepChanged 3586,onStandStepChanged <*>
50,E2,onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>
51,E6, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
52,E7,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
53,E8,calculateCaloriesWithCache totalCalories=126925,calculateCaloriesWithCache totalCalories=<*>
54,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
55,E10,REPORT : 7014 5007 150239 240,REPORT : <*> <*> <*> <*>
56,E1,onStandStepChanged 3587,onStandStepChanged <*>
57,E2,onExtend:1514038534000 1 0 4,onExtend:<*> <*> <*> <*>
58,E6, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
59,E7,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
60,E8,calculateCaloriesWithCache totalCalories=126947,calculateCaloriesWithCache totalCalories=<*>
61,E9,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
62,E10,REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>
63,E1,onStandStepChanged 3588,onStandStepChanged <*>
64,E2,onExtend:1514038535000 1 0 4,onExtend:<*> <*> <*> <*>
65,E3,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: <*>
66,E1,onStandStepChanged 3589,onStandStepChanged <*>
