EventId,EventTemplate
E1,instruction cache parity error corrected
E2,<*> double-hummer alignment exceptions
E3,"CE sym <*>, at <*>, mask <*>"
E4,ciod: failed to read message prefix on control stream (CioStream socket to <*>
E5,generating core.<*>
E6,force load/store alignment...............<*>
E7,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
E8,ciod: LOGIN chdir(<*>) failed: No such file or directory
E9,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
E10,data TLB error interrupt
E11,ciod: Message code <*> is not <*> or <*>
E12,data storage interrupt
E13,instruction address: <*>
E14,data address: <*>
E15,machine check: i-fetch......................<*>
E16,program interrupt: illegal instruction......<*>
E17,exception syndrome register: <*>
E18,data store interrupt caused by <*>
E19,program interrupt: privileged instruction...<*>
E20,program interrupt: trap instruction.........<*>
E21,program interrupt: imprecise exception......<*>
E22,store operation.............................<*>
E23,machine state register: <*>
E24,"problem state (<*>=sup,<*>=usr).......<*>"
E25,floating point instr. enabled.....<*>
E26,auxiliary processor.........................<*>
E27,machine check enable..............<*>
E28,floating pt ex mode <*> enable......<*>
E29,program interrupt: unimplemented operation..<*>
E30,debug interrupt enable............<*>
E31,byte ordering exception.....................<*>
E32,core configuration register: <*>
E33,program interrupt: fp cr update.............<*>
E34,guaranteed instruction cache block touch.<*>
E35,program interrupt: fp cr field .............<*>
E36,guaranteed data cache block touch........<*>
E37,icache prefetch depth....................<*>
E38,icache prefetch threshold................<*>
E39,wait state enable.................<*>
E40,critical input interrupt enable...<*>
E41,special purpose registers:<*>
E42,lr:<*> cr:<*> xer:<*> ctr:<*>
E43,rts internal error
E44,debug wait enable.................<*>
E45,disable store gathering..................<*>
E46,total of <*> ddr error(s) detected and corrected
E47,"ciod: Error loading <*>: invalid or missing program image, No such file or directory"
E48,ciod: Error creating node map from file <*>: No child processes
E49,program interrupt
E50,Node card is not fully functional
E51,ciod: Error creating node map from file <*>: Bad file descriptor
E52,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>
E53,Can not get assembly information for node card
E54,ciod: Missing or invalid fields on line <*> of node map file <*>
E55,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected
E56,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>
E57,ciod: Error creating node map from file <*>: Block device required
E58,rts panic! - stopping execution
E59,ciod: Error creating node map from file <*>: Permission denied
E60,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>
E61,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>"
E62,<*> floating point alignment exceptions
E63,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>
E64,NodeCard is not fully functional
E65,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is <*>. PGOOD is <*>. PGOOD error latch is <*>. MPGOOD is <*>. MPGOOD error latch is <*>. The <*> volt rail is <*>. The <*> volt rail is <*>."
E66,"Node card VPD check: <*> node in <*> slot <*> do not match. VPD ecid <*>, found <*>"
E67,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=<*> Source line=<*> Function=<*>
E68,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is <*>. PGOOD IS <*>. PGOOD ERROR LATCH IS <*>. MPGOOD IS <*>. MPGOOD ERROR LATCH IS <*>. The <*> volt rail is <*>. The <*> volt rail is <*>.
E69,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>"
E70,rts tree/torus link training failed: wanted: <*> <*> <*> <*> <*> <*> <*> <*> got: <*> <*> <*> <*> <*> <*> <*> <*>
E71,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected
E72,"ciod: Error loading <*>: invalid or missing program image, Exec format error"
E73,ciod: Error reading message prefix after <*> on CioStream socket to <*>: Link has been severed
E74,rts: kernel terminated for reason <*>
E75,ciod: generated <*> core files for program <*>
E76,iar <*> dear <*>
E77,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)"
E78,Lustre mount FAILED : <*> : point <*>
E79,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected
E80,ciod: pollControlDescriptors: Detected the debugger died.
E81,"ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*>)"
E82,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected
E83,suppressing further interrupts of same type
E84,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>
E85,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire
E86,"ciod: Error loading <*>: invalid or missing program image, Permission denied"
E87,data cache search parity error detected. attempting to correct
E88,shutdown complete
E89,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire
E90,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>"
E91,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected
E92,"critical input interrupt (unit=<*> bit=<*>): warning for torus <*> wire, suppressing further interrupts of same type"
E93,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds
E94,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
E95,Lustre mount FAILED : <*> : block_id : <*>
E96,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>)
E97,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out"
E98,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer"
E99,dbcr0=<*> dbsr=<*> ccr0=<*>
E100,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed"
E101,r24=<*> r25=<*> r26=<*> r27=<*>
E102,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds
E103,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
E104,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
E105,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds"
E106,"PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(<*>), mLp(FF:F2:9F:<*>:E0:DA:<*>:0D:<*>:E9:1F:<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>"
E107,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*>"
E108,total of <*> ddr error(s) detected and corrected over <*> seconds
E109,minus normalized number..................<*>
E110,fraction rounded.........................<*>
E111,"critical input interrupt (unit=<*> bit=<*>): warning for tree C1 wire, suppressing further interrupts of same type"
E112,size of scratchpad portion of L3.........<*> (<*>)
E113,ciod: LOGIN chdir(<*>) failed: Input/output error
E114,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds
E115,"ciod: Error loading <*>: program image too big, <*> > <*>"
E116,fpr29=<*> <*> <*> <*>
E117,Machine State Register: <*>
