EventId,EventTemplate
E1,onStandStepChanged <*>
E2,onExtend:<*> <*> <*> <*>
E3,onReceive action: <*>
E4,processHandleBroadcastAction action:<*>
E5,flush sensor data
E6,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
E8,calculateCaloriesWithCache totalCalories=<*>
E9,calculateAltitudeWithCache totalAltitude=<*>
E10,REPORT : <*> <*> <*> <*>
E11,isScreenOn <*>
E12,"screen status <*>,think screen <*>"
E13,flushTempCacheToDB by <*>
E14,Alarm uploadStaticsToDB totalSteps=<*>
E15,writeDataToDB size <*>
E16,"upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>"
E17,getBinderPackageName packageName = <*>
E18,"getAppContext() isAppValid health or wear, packageName = com.huawei.health"
E19,insertHiHealthData() checkAppType <*> appID = <*>
E20,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>"
E21,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>"
E22,"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>"
E23,"new date =<*>, type=<*>,<*>,old=<*>"
E24,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>"
E25,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>"
E26,startListenerChange subscribeList = [<*>]
E27,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>, errorMessage = <*>"
E28,insertHiHealthData() end totalTime = <*>
E29,uploadStaticsToDB() onResult type = <*> obj=<*>
E30,uploadStaticsToDB failed message=<*>
E31,checkInsertStatus <*> or <*> is enough
E32,"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>"
E33,"startInsertSportSync start auto sync,app is <*>"
E34,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>"
E35,"startInsertSportSync first <*> steps sync,do all sync"
E36,"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>"
E37,needAutoSync autoSyncSwitch is <*>
E38,"initDataPrivacy the dataPrivacy switch is <*>, start push health data!"
E39,initDataPrivacy the dataPrivacy is <*>
E40,"initUserPrivacy the userPrivacy switch is <*>, start push user data!"
E41,initUserPrivacy the userPrivacy is <*>
E42,ifCanSync not! no cloud version
E43,sendSyncFailedBroadcast
E44,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>"
E45,InsertCallBack() onSuccess type = <*> data=<*>
E46,InsertEvent success begin:<*> end:<*>
E47,setWriteDBLastDataMinute=<*>
E48,setWriteDBLastDataMinute <*>
E49,flush2DB result <*>
E50,"timeStamp back,extendReportTimeStamp=<*>"
E51,startTimer <*> <*>
E52,stepSyncOrNot appSynTimes is <*>
E53,getTodaySportData mStepsRecordManager=<*>
E54,theDayChanged <*>
E55,initEnviroument
E56,getStepCounterStatus
E57,getStepCounterStatus= <*>
E58,reStartStepCounter
E59,registersensorsuccess: <*>
E60,clear()
E61,getTodayBasicStandardSteps= <*>##<*>##<*>
E62,tryToRecordAsBasicStepData <*> <*>
E63,getDiffTotalSteps= <*>##<*>
E64,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>
E65,setDiffTotalSteps=<*>
E66,tryToReloadTodayBasicSteps1514044800223|<*>|<*>|<*>
E67,reload : <*> restar <*>
E68,next day:<*>
E69,setGoalNotifiShownRecord <*> <*>
E70,closeNotification...
E71,deleteHealthNotification()
E72,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>"
