LineId,EventId,Content,EventTemplate
1,E1,instruction cache parity error corrected,instruction cache parity error corrected
2,E1,instruction cache parity error corrected,instruction cache parity error corrected
3,E1,instruction cache parity error corrected,instruction cache parity error corrected
4,E1,instruction cache parity error corrected,instruction cache parity error corrected
5,E2,63543 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
6,E2,162 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
7,E2,141 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
8,E3,"CE sym 2, at 0x0b85eee0, mask 0x05","CE sym <*>, at <*>, mask <*>"
9,E4,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>
10,E4,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,ciod: failed to read message prefix on control stream (CioStream socket to <*>
11,E3,"CE sym 20, at 0x1438f9e0, mask 0x40","CE sym <*>, at <*>, mask <*>"
12,E5,generating core.2275,generating core.<*>
13,E5,generating core.862,generating core.<*>
14,E5,generating core.728,generating core.<*>
15,E5,generating core.775,generating core.<*>
16,E5,generating core.3276,generating core.<*>
17,E5,generating core.1717,generating core.<*>
18,E5,generating core.3919,generating core.<*>
19,E5,generating core.2079,generating core.<*>
20,E5,generating core.1414,generating core.<*>
21,E5,generating core.3055,generating core.<*>
22,E5,generating core.201,generating core.<*>
23,E5,generating core.1125,generating core.<*>
24,E5,generating core.412,generating core.<*>
25,E5,generating core.7828,generating core.<*>
26,E5,generating core.5570,generating core.<*>
27,E5,generating core.8275,generating core.<*>
28,E5,generating core.4183,generating core.<*>
29,E5,generating core.6545,generating core.<*>
30,E5,generating core.4245,generating core.<*>
31,E5,generating core.6884,generating core.<*>
32,E6,force load/store alignment...............0,force load/store alignment...............<*>
33,E5,generating core.6471,generating core.<*>
34,E5,generating core.4155,generating core.<*>
35,E5,generating core.449,generating core.<*>
36,E5,generating core.6990,generating core.<*>
37,E5,generating core.4876,generating core.<*>
38,E5,generating core.2218,generating core.<*>
39,E5,generating core.7518,generating core.<*>
40,E5,generating core.5854,generating core.<*>
41,E5,generating core.7457,generating core.<*>
42,E5,generating core.6896,generating core.<*>
43,E5,generating core.3488,generating core.<*>
44,E5,generating core.1172,generating core.<*>
45,E5,generating core.2286,generating core.<*>
46,E5,generating core.786,generating core.<*>
47,E5,generating core.2680,generating core.<*>
48,E5,generating core.1524,generating core.<*>
49,E5,generating core.4937,generating core.<*>
50,E5,generating core.6801,generating core.<*>
51,E5,generating core.4368,generating core.<*>
52,E5,generating core.851,generating core.<*>
53,E5,generating core.1744,generating core.<*>
54,E5,generating core.1588,generating core.<*>
55,E5,generating core.5307,generating core.<*>
56,E5,generating core.7192,generating core.<*>
57,E3,"CE sym 20, at 0x01228120, mask 0x10","CE sym <*>, at <*>, mask <*>"
58,E3,"CE sym 5, at 0x11042a80, mask 0x04","CE sym <*>, at <*>, mask <*>"
59,E1,instruction cache parity error corrected,instruction cache parity error corrected
60,E1,instruction cache parity error corrected,instruction cache parity error corrected
61,E1,instruction cache parity error corrected,instruction cache parity error corrected
62,E1,instruction cache parity error corrected,instruction cache parity error corrected
63,E1,instruction cache parity error corrected,instruction cache parity error corrected
64,E1,instruction cache parity error corrected,instruction cache parity error corrected
65,E1,instruction cache parity error corrected,instruction cache parity error corrected
66,E1,instruction cache parity error corrected,instruction cache parity error corrected
67,E5,generating core.430,generating core.<*>
68,E5,generating core.174,generating core.<*>
69,E7,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
70,E5,generating core.976,generating core.<*>
71,E5,generating core.1990,generating core.<*>
72,E5,generating core.3638,generating core.<*>
73,E5,generating core.2690,generating core.<*>
74,E5,generating core.3804,generating core.<*>
75,E5,generating core.418,generating core.<*>
76,E5,generating core.310,generating core.<*>
77,E5,generating core.2409,generating core.<*>
78,E5,generating core.4182,generating core.<*>
79,E5,generating core.8153,generating core.<*>
80,E5,generating core.7836,generating core.<*>
81,E5,generating core.2911,generating core.<*>
82,E5,generating core.2921,generating core.<*>
83,E5,generating core.122,generating core.<*>
84,E5,generating core.1973,generating core.<*>
85,E8,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory
86,E5,generating core.4984,generating core.<*>
87,E5,generating core.1822,generating core.<*>
88,E3,"CE sym 28, at 0x110067e0, mask 0x02","CE sym <*>, at <*>, mask <*>"
89,E9,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1","<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
90,E3,"CE sym 14, at 0x06047860, mask 0x20","CE sym <*>, at <*>, mask <*>"
91,E5,generating core.3265,generating core.<*>
92,E5,generating core.2599,generating core.<*>
93,E5,generating core.1818,generating core.<*>
94,E5,generating core.1694,generating core.<*>
95,E5,generating core.3401,generating core.<*>
96,E5,generating core.25350,generating core.<*>
97,E5,generating core.1820,generating core.<*>
98,E3,"CE sym 2, at 0x1b85f080, mask 0x02","CE sym <*>, at <*>, mask <*>"
99,E5,generating core.254,generating core.<*>
100,E5,generating core.1887,generating core.<*>
101,E3,"CE sym 2, at 0x1b85fe80, mask 0x02","CE sym <*>, at <*>, mask <*>"
102,E5,generating core.8280,generating core.<*>
103,E5,generating core.12357,generating core.<*>
104,E10,data TLB error interrupt,data TLB error interrupt
105,E10,data TLB error interrupt,data TLB error interrupt
106,E10,data TLB error interrupt,data TLB error interrupt
