Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.801,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,42,43,0.481,0.371,0.918,0.643,0.628,0.635
HPC,-1.00,45,46,0.970,0.839,0.967,0.578,0.565,0.571
Zookeeper,-1.00,52,50,0.995,0.658,0.961,0.635,0.660,0.647
HealthApp,-1.00,72,75,0.900,0.750,0.939,0.653,0.627,0.639
Android,-1.00,150,166,0.873,0.621,0.835,0.567,0.512,0.538
Spark,-1.00,35,36,0.999,0.779,0.958,0.771,0.750,0.761
BGL,-1.00,117,120,0.978,0.889,0.962,0.778,0.758,0.768
Linux,-1.00,113,118,0.754,0.184,0.961,0.584,0.559,0.571
Mac,None,None,None,None,None,None,None,None,None
Thunderbird,-1.00,159,149,0.985,0.397,0.909,0.516,0.550,0.532
Hadoop,-1.00,111,114,0.991,0.155,0.969,0.189,0.184,0.187
Windows,-1.00,49,50,0.696,0.681,0.970,0.714,0.700,0.707
