EventId,EventTemplate
E1,Loaded Servicing Stack <*> with Core: <*>
E2,<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
E3,Ending TrustedInstaller initialization.
E4,Starting the TrustedInstaller main loop.
E5,<*> service starts successfully.
E6,SQM: Initializing online with Windows opt-in: <*>
E7,SQM: Cleaning up report files older than <*> days.
E8,SQM: Requesting upload of all unsent reports.
E9,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
E10,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
E11,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
E12,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
E13,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
E14,NonStart: Checking to ensure startup processing was not required.
E15,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>"
E16,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)"""
E17,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
E18,<*> CSI perf trace:
E19,"NonStart: Success, startup processing not required as expected."
E20,Startup processing thread terminated normally
E21,<*> CSI Store <*> (<*>) initialized
E22,Session: <*> initialized by client <*>.
E23,Warning: Unrecognized packageExtended attribute.
E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
E26,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE]
E27,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
E28,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION]
E29,Reboot mark refs incremented to: <*>
E30,Scavenge: Starts
E31,"<*> CSI Transaction @<*> initialized for deployment engine <*> with flags <*> and client id [<*>]""<*>"""
E32,Scavenge: Begin CSI Store
E33,<*> Performing <*> operations; <*> are not lock/unlock and follow:
E34,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge."
E35,<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>
E36,"Scavenge: Completed, disposition: <*>"
E37,<*> CSI Transaction @<*> destroyed
E38,Reboot mark refs: <*>
E39,Idle processing thread terminated normally
E40,Ending the TrustedInstaller main loop.
E41,Starting TrustedInstaller finalization.
E42,Ending TrustedInstaller finalization.
E43,Starting TrustedInstaller initialization.
E44,"Loading offline registry hive: <*>, into registry key <*> from path '<*>'."
E45,Offline image is: <*>
E46,"Disabling manifest caching, because the image is not writeable."
E47,<*> PopulateComponentFamiliesKey - Begin
E48,<*> PopulateComponentFamiliesKey - End
E49,Unloading offline registry hive: <*>
