EventId,EventTemplate
E1,Notification time out: <*>
E2,Received connection request <*>
E3,Send worker leaving thread
E4,Interrupted while waiting for message on queue
E5,"Connection broken for id <*>, my id = <*>, error ="
E6,Interrupting SendWorker
E7,Closed socket connection for client <*> which had sessionid <*>
E8,caught end of stream exception
E9,Client attempting to renew session <*> at <*>
E10,Client attempting to establish new session at <*>
E11,Established session <*> with negotiated timeout <*> for client <*>
E12,Accepted socket connection from <*>
E13,Unexpected Exception:
E14,Connection request from old client <*>; will be dropped if server is in r-o mode
E15,Server environment:user.dir=<*>
E16,Cannot open channel to <*> at election address <*>
E17,Processed session termination for sessionid: <*>
E18,"Expiring session <*>, timeout of <*> exceeded"
E19,******* GOODBYE <*> ********
E20,LOOKING
E21,My election bind port: <*>
E22,"Have smaller server identifier, so dropping the connection: (<*>, <*>)"
E23,FOLLOWING
E24,"New election. My id = <*>, proposed zxid=<*>"
E25,Server environment:<*>
E26,<*> - LEADER ELECTION TOOK - <*>
E27,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
E28,autopurge.snapRetainCount set to <*>
E29,Revalidating client: <*>
E30,Closed socket connection for client <*> (no session established for client)
E31,Exception causing close of session <*> due to <*>
E32,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
E33,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)"
E34,tickTime set to <*>
E35,Unexpected exception causing shutdown while sock still open
E36,Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = <*> for <*>
E37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)"
E38,Starting quorum peer
E39,Snapshotting: <*> to <*>
E40,autopurge.purgeInterval set to <*>
E41,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>
E42,maxSessionTimeout set to <*>
E43,Have quorum of supporters; starting up and setting last processed zxid: <*>
E44,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)"
E45,shutdown of request processor complete
E46,First is <*>
E47,Reading snapshot <*>
E48,Sending DIFF
E49,Getting a snapshot from leader
E50,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)"
E51,minSessionTimeout set to <*>
