Content,Tmps,EventTemplate
Created MRAppMaster for application appattempt_1445144423722_0020_000001,"C
r
e
a
t
e
d
 
M
R
A
p
p
M
a
s
t
e
r
 
f
o
r
 
a
p
p
l
i
c
a
t
i
o
n
 
a
p
p
a
t
t
e
m
p
t
_
{
{
a
p
p
i
d
}
}
_
{
{
a
t
t
e
m
p
t
}
}
_
{
{
c
o
n
t
a
i
n
e
r
}
}",Created MRAppMaster for application <*>
Executing with tokens:,"E
x
e
c
u
t
i
n
g
 
w
i
t
h
 
t
o
k
e
n
s
:",Executing with tokens:
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","K
i
n
d
:
 
{
{
k
i
n
d
}
}
,
 
S
e
r
v
i
c
e
:
 
{
{
s
e
r
v
i
c
e
}
}
,
 
I
d
e
n
t
:
 
(
a
p
p
A
t
t
e
m
p
t
I
d
 
{
 
a
p
p
l
i
c
a
t
i
o
n
_
i
d
 
{
 
i
d
:
 
{
{
i
d
}
}
 
c
l
u
s
t
e
r
_
t
i
m
e
s
t
a
m
p
:
 
{
{
c
l
u
s
t
e
r
_
t
i
m
e
s
t
a
m
p
}
}
 
}
 
a
t
t
e
m
p
t
I
d
:
 
{
{
a
t
t
e
m
p
t
I
d
}
}
 
}
 
k
e
y
I
d
:
 
{
{
k
e
y
I
d
}
}
)","Kind: <*>, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
Using mapred newApiCommitter.,"U
s
i
n
g
 
m
a
p
r
e
d
 
{
{
p
l
a
c
e
h
o
l
d
e
r
1
}
}
.",Using mapred <*>.
OutputCommitter set in config null,"O
u
t
p
u
t
C
o
m
m
i
t
t
e
r
 
s
e
t
 
i
n
 
c
o
n
f
i
g
 
{
{
v
a
l
u
e
}
}",OutputCommitter set in config <*>
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,"O
u
t
p
u
t
C
o
m
m
i
t
t
e
r
 
i
s
 
{
{
o
u
t
p
u
t
C
o
m
m
i
t
t
e
r
}
}",OutputCommitter is <*>
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,,Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
{
{
c
l
a
s
s
}
}
 
f
o
r
 
c
l
a
s
s
 
{
{
h
a
n
d
l
e
r
}
}",Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
{
{
c
l
a
s
s
}
}
 
f
o
r
 
c
l
a
s
s
 
{
{
h
a
n
d
l
e
r
}
}",Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,"R
e
g
i
s
t
e
r
i
n
g
 
c
l
a
s
s
 
{
{
c
l
a
s
s
}
}
 
f
o
r
 
c
l
a
s
s
 
{
{
h
a
n
d
l
e
r
}
}",Registering class <*> for class <*>
