Content,Tmps,EventTemplate
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
check pass; user unknown,"c
h
e
c
k
 
p
a
s
s
;
 
u
s
e
r
 
u
n
k
n
o
w
n",check pass; user unknown
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
f
a
i
l
u
r
e
;
 
l
o
g
n
a
m
e
=
 
u
i
d
=
0
 
e
u
i
d
=
0
 
t
t
y
=
N
O
D
E
V
s
s
h
 
r
u
s
e
r
=
 
r
h
o
s
t
=
{
{
r
h
o
s
t
}
}
 
 
u
s
e
r
=
{
{
u
s
e
r
}
}",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
