Content,Tmps,EventTemplate
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = {{placeholder}}, allDrawn= {{placeholder}}, startingDisplayed = {{placeholder}}, startingMoved = {{placeholder}}, isRelaunching = {{placeholder}}","printFreezingDisplayLogsopening app wtoken = <*>, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","acquire lock={{lock}}, flags={{flags}}, tag=""{{tag}}"", name={{name}}, ws={{ws}}, uid={{uid}}, pid={{pid}}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy={{policy}},wakefulness={{wakefulness}},wksummary={{wksummary}},uasummary={{uasummary}},bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual={{manual}},auto={{auto}},adj={{adj}},userId={{userId}}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{{token}} -- going to hide,Skipping <*> -- going to hide
visible is system.time.showampm,,<*> is <*>
mVisiblity.getValue is false,{{mVisiblity.getValue}} is false,<*> is <*>
visible is system.charge.show,,<*> is <*>
mVisiblity.getValue is false,{{mVisiblity.getValue}} is false,<*> is <*>
visible is system.call.count gt 0,visible is {{variable}} {{operator}} {{value}},visible is <*> <*> <*>
mVisiblity.getValue is false,{{mVisiblity.getValue}} is false,<*> is <*>
visible is system.message.count gt 0,,visible is <*> <*> <*>
mVisiblity.getValue is false,{{mVisiblity.getValue}} is false,<*> is <*>
visible is system.ownerinfo.show,,<*> is <*>
mVisiblity.getValue is false,{{mVisiblity.getValue}} is false,<*> is <*>
"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","release:lock={{lock}}, flg={{flg}}, tag=""{{tag}}"", name={{name}}, ws={{ws}}, uid={{uid}}, pid={{pid}}","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy={{policy}},wakefulness={{wakefulness}},wksummary={{wksummary}},uasummary={{uasummary}},bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual={{manual}},auto={{auto}},adj={{adj}},userId={{userId}}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{{token}} -- going to hide,Skipping <*> -- going to hide
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0","updateClipping isOverlap:false, getTopPadding=333.0, Translation=-{{placeholder}}.0","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>"
updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:{{overlap}},updateDimmedActivatedHideSensitive overlap:<*>
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller {{caller}} does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release:lock={{lock}}, flg=0x0, tag=""{{tag}}"", name=""{{name}}"", ws={{ws}}, uid={{uid}}, pid={{pid}}","release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy={{policy}},wakefulness={{wakefulness}},wksummary={{wksummary}},uasummary={{uasummary}},bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual={{manual}},auto={{auto}},adj={{adj}},userId={{userId}}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis={{vis}} mask={{mask}} oldVal={{oldVal}} newVal={{newVal}} diff={{diff}} fullscreenStackVis={{fullscreenStackVis}} dockedStackVis={{dockedStackVis}}, fullscreenStackBounds={{fullscreenStackBounds}}, dockedStackBounds={{dockedStackBounds}}","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=<*>, dockedStackBounds=<*>"
cancelAutohide,cancelAutohide,cancelAutohide
"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500","notifyUiVisibilityChanged:vis={{vis}}, SystemUiVisibility={{vis}}","notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,Destroying surface Surface(name={{name}}) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 {{rest}},Destroying surface Surface(name=<*>) called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> <*>
"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release:lock={{lock}}, flg=0x0, tag=""{{tag}}"", name=""{{name}}"", ws={{ws}}, uid={{uid}}, pid={{pid}}","release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>"
"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000","userActivityNoUpdateLocked: eventTime={{eventTime}}, event={{event}}, flags={{flags}}, uid={{uid}}","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy={{policy}},wakefulness={{wakefulness}},wksummary={{wksummary}},uasummary={{uasummary}},bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual={{manual}},auto={{auto}},adj={{adj}},userId={{userId}}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call {{placeholder}}","orientation change is complete, call <*>"
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for +{{time}} due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for +<*> due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}
startAnimation begin,startAnimation begin,startAnimation begin
startAnimation end,startAnimation end,startAnimation end
"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702","release:lock={{lock}}, flg=0x0, tag=""{{tag}}"", name=""{{name}}"", ws={{ws}}, uid={{uid}}, pid={{pid}}","release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy={{policy}},wakefulness={{wakefulness}},wksummary={{wksummary}},uasummary={{uasummary}},bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual={{manual}},auto={{auto}},adj={{adj}},userId={{userId}}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{{id}}: PendingIntentRecord{{id}} {{packageName}} {{action}}) changed bounds; rebatching,remove(<*>: <*> <*> <*>) changed bounds; rebatching
"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED","rotationForOrientationLw(orient={{orient}}, last={{last}}); user={{user}} USER_ROTATION_LOCKED","rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
"Application requested orientation 1, got rotation 0 which has compatible metrics","Application requested orientation {{orientation}}, got rotation {{rotation}} which has compatible metrics","Application requested orientation <*>, got rotation <*> which has compatible metrics"
"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626","acquire lock={{lock}}, flags=0x1, tag=""{{tag}}"", name={{name}}, ws={{ws}}, uid={{uid}}, pid={{pid}}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
