Content,Tmps,EventTemplate
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<{{port}}>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = {{port}} unplug = 0,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure state: {{thermal_pressure_state}} Memory pressure state: {{memory_pressure_state}},Thermal pressure state: <*> Memory pressure state: <*>
FA||Url||taskID[2019352994] dealloc,FA||Url||taskID[{{taskID}}] dealloc,FA||Url||taskID[<*>] dealloc
ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],,ARPT: <*>: <*>::<*>: <*>
ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: {{timestamp}}: {{module}}::{{function}}: {{parameter}},ARPT: <*>: <*>::<*>: <*>
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface {{interface}} ({{ip}}),mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: {{timestamp}}: IOPMPowerSource Information: onSleep,  SleepType: {{sleepType}},  '{{externalConnected}}': {{externalConnected}}, 'TimeRemaining': {{timeRemaining}},","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, '<*>': <*>, 'TimeRemaining': <*>,"
"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","ARPT: {{timestamp}}.{{timestamp}}: wl0: wl_update_tcpkeep_seq: Original Seq: {{seq}}, Ack: {{ack}}, Win size: {{win_size}}","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,ARPT: {{timestamp}}: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,{{unexpected switch value}},__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,{{method}}::{{method_name}} {{message}},<*>::<*> <*>
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,{{unexpected switch value}},__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: {{timestamp}}: {{interface}}: MDNS: {{srv_rec}} SRV Recs, {{txt_rec}} TXT Recs","ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs"
AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::systemWakeCall - messageType = {{messageType}},AppleCamIn::systemWakeCall - messageType = <*>
"setting hostname to ""authorMacBook-Pro.local""","setting hostname to ""{{hostname}}""","setting hostname to ""<*>"""
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,,<*>::<*> <*>
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.[10:13:05.044] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.[17:22:36.133] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,{{method}}::{{method_name}} {{message}},<*>::<*> <*>
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on {{interface}}. Reason {{reason}}.,AirPort: Link Down on <*>. Reason <*>.
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<{{port}}>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = {{port}} unplug = 0,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
"PM response took 2010 ms (54, powerd)","PM response took {{time}} ms ({{id}}, {{status}})","PM response took <*> ms (<*>, <*>)"
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64","ARPT: {{timestamp}}: wl0: Roamed or switched channel, reason #{{reason}}, bssid {{bssid}}, last RSSI {{rssi}}","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI <*>"
"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: {{timestamp}}: IOPMPowerSource Information: onSleep,  SleepType: {{sleepType}},  '{{externalConnected}}': {{externalConnected}}, 'TimeRemaining': {{timeRemaining}},","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, '<*>': <*>, 'TimeRemaining': <*>,"
"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096","ARPT: {{timestamp}}.{{timestamp}}: wl0: wl_update_tcpkeep_seq: Original Seq: {{seq}}, Ack: {{ack}}, Win size: {{win_size}}","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {{old_state}} to {{new_state}},nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.","com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",{{method}}::{{method_name}}({{args}}),<*>::<*>(<*>)
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : {{network}} is not reachable, {{netbiosd}} is shutting down","network_reachability_changed : <*> is not reachable, <*> is shutting down"
CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting {{message}},CCFile::captureLogRun() Exiting <*>
Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure state: {{thermal_pressure_state}} Memory pressure state: {{memory_pressure_state}},Thermal pressure state: <*> Memory pressure state: <*>
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,com.apple.Addres({{pid}}) {{action}} {{path}},com.apple.Addres(<*>) <*> <*>
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,{{method}}::{{method_name}} {{message}},<*>::<*> <*>
ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,ARPT: {{timestamp}}: {{interface}}: MDNS: {{addr_type}} Addr: {{ipv6_addr}},ARPT: <*>: <*>: MDNS: <*> Addr: <*>
AirPort: Link Up on en0,AirPort: Link Up on {{interface}},AirPort: Link Up on <*>
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {{seconds}} seconds.  Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: {{process}}({{pid}}) {{action}}({{denied}}) {{direction}} {{path}},Sandbox: <*>(<*>) <*>(<*>) <*> <*>
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface {{interface}} ({{ip}}),mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],,ARPT: <*>: <*>::<*>: <*>
AirPort: Link Up on awdl0,AirPort: Link Up on {{interface}},AirPort: Link Up on <*>
