Content,Tmps,EventTemplate
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",": opening app wtoken = AppWindowToken{{token}}, allDrawn= {{allDrawn}}, startingDisplayed = {{startingDisplayed}}, startingMoved = {{startingMoved}}, isRelaunching = {{isRelaunching}}","printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","acquire lock={{lock_id}}, flags=0x{{flags}}, tag=""{{tag}}"", name={{app_name}}, ws=null, uid={{uid}}, pid={{pid}}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true, policy=3, wakefulness={{wakefulness_value}}, wksummary=0x{{wksummary_hex}}, uasummary=0x{{uasummary_hex}}, bootcompleted=true, boostinprogress=false, waitmodeenable=false, mode=false, manual=38, auto=-1, adj=0.0, userId=0","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{token=Token{activity_token} ActivityRecord{activity_process_id u0 activity_package t761}} -- going to hide,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
visible is system.time.showampm,system.time.showampm,visible is system.time.showampm
mVisiblity.getValue is false,mVisiblity.getValue is {{boolean}},mVisiblity.getValue is <*>
visible is system.charge.show,{{system}}.charge.{{action}},<*>.charge.<*>
mVisiblity.getValue is false,mVisiblity.getValue is {{boolean}},mVisiblity.getValue is <*>
visible is system.call.count gt 0,visible is system.call.count > 0\,visible is system.call.count gt <*>
mVisiblity.getValue is false,mVisiblity.getValue is {{boolean}},mVisiblity.getValue is <*>
