Content,Tmps,EventTemplate
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component \042{{component}}\042 is in the unavailable state (HWID={{hwid}}),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
clusterAddMember  (command 1902),clusterAddMember (command {{command}}),clusterAddMember (command <*>)
clusterAddMember  (command 1900),clusterAddMember (command {{command}}),clusterAddMember (command <*>)
risBoot  (command 1903),risBoot (command {{command_id}}),risBoot (command <*>)
bootGenvmunix  (command 1903),bootGenvmunix  (command {{number}}),bootGenvmunix (command <*>)
boot  (command 1911),boot (command {{command_id}}),boot (command <*>)
boot  (command 1910),boot (command {{command_id}}),boot (command <*>)
boot  (command 1978),boot (command {{command_id}}),boot (command <*>)
boot  (command 1967),boot (command {{command_id}}),boot (command <*>)
wait  (command 1975),wait (command {{number}}),wait (command <*>)
boot  (command 1999),boot (command {{command_id}}),boot (command <*>)
halt  (command 1982),halt (command {{command_id}}),halt (command <*>)
boot  (command 1981),boot (command {{command_id}}),boot (command <*>)
boot  (command 1973),boot (command {{command_id}}),boot (command <*>)
wait  (command 1973),wait (command {{number}}),wait (command <*>)
wait  (command 2057),wait (command {{number}}),wait (command <*>)
boot  (command 2152),boot (command {{command_id}}),boot (command <*>)
wait  (command 2154),wait (command {{number}}),wait (command <*>)
boot  (command 2141),boot (command {{command_id}}),boot (command <*>)
boot  (command 2110),boot (command {{command_id}}),boot (command <*>)
boot  (command 2160),boot (command {{command_id}}),boot (command <*>)
halt  (command 2221),halt (command {{command_id}}),halt (command <*>)
wait  (command 2217),wait (command {{number}}),wait (command <*>)
wait  (command 2217),wait (command {{number}}),wait (command <*>)
wait  (command 2201),wait (command {{number}}),wait (command <*>)
wait  (command 2199),wait (command {{number}}),wait (command <*>)
boot  (command 2183),boot (command {{command_id}}),boot (command <*>)
wait  (command 2189),wait (command {{number}}),wait (command <*>)
wait  (command 2302),wait (command {{number}}),wait (command <*>)
wait  (command 2270),wait (command {{number}}),wait (command <*>)
wait  (command 2257),wait (command {{number}}),wait (command <*>)
boot  (command 2257),boot (command {{command_id}}),boot (command <*>)
boot  (command 2316),boot (command {{command_id}}),boot (command <*>)
boot  (command 2316),boot (command {{command_id}}),boot (command <*>)
wait  (command 2322),wait (command {{number}}),wait (command <*>)
wait  (command 2354),wait (command {{number}}),wait (command <*>)
wait  (command 2347),wait (command {{number}}),wait (command <*>)
boot  (command 2368),boot (command {{command_id}}),boot (command <*>)
boot  (command 2392),boot (command {{command_id}}),boot (command <*>)
boot  (command 2406),boot (command {{command_id}}),boot (command <*>)
boot  (command 2417),boot (command {{command_id}}),boot (command <*>)
boot  (command 2423),boot (command {{command_id}}),boot (command <*>)
wait  (command 2424),wait (command {{number}}),wait (command <*>)
wait  (command 2449),wait (command {{number}}),wait (command <*>)
boot  (command 2464),boot (command {{command_id}}),boot (command <*>)
wait  (command 2468),wait (command {{number}}),wait (command <*>)
boot  (command 2520),boot (command {{command_id}}),boot (command <*>)
wait  (command 2517),wait (command {{number}}),wait (command <*>)
boot  (command 2517),boot (command {{command_id}}),boot (command <*>)
wait  (command 2511),wait (command {{number}}),wait (command <*>)
wait  (command 2513),wait (command {{number}}),wait (command <*>)
boot  (command 2514),boot (command {{command_id}}),boot (command <*>)
wait  (command 2484),wait (command {{number}}),wait (command <*>)
boot  (command 2625),boot (command {{command_id}}),boot (command <*>)
wait  (command 2607),wait (command {{number}}),wait (command <*>)
boot  (command 2616),boot (command {{command_id}}),boot (command <*>)
boot  (command 2619),boot (command {{command_id}}),boot (command <*>)
boot  (command 2616),boot (command {{command_id}}),boot (command <*>)
boot  (command 2616),boot (command {{command_id}}),boot (command <*>)
boot  (command 2602),boot (command {{command_id}}),boot (command <*>)
wait  (command 2582),wait (command {{number}}),wait (command <*>)
boot  (command 2584),boot (command {{command_id}}),boot (command <*>)
wait  (command 2549),wait (command {{number}}),wait (command <*>)
boot  (command 2550),boot (command {{command_id}}),boot (command <*>)
boot  (command 2548),boot (command {{command_id}}),boot (command <*>)
boot  (command 2538),boot (command {{command_id}}),boot (command <*>)
wait  (command 2683),wait (command {{number}}),wait (command <*>)
boot  (command 2686),boot (command {{command_id}}),boot (command <*>)
wait  (command 2682),wait (command {{number}}),wait (command <*>)
wait  (command 2763),wait (command {{number}}),wait (command <*>)
wait  (command 2800),wait (command {{number}}),wait (command <*>)
boot  (command 2790),boot (command {{command_id}}),boot (command <*>)
wait  (command 2817),wait (command {{number}}),wait (command <*>)
wait  (command 2823),wait (command {{number}}),wait (command <*>)
wait  (command 2817),wait (command {{number}}),wait (command <*>)
wait  (command 2900),wait (command {{number}}),wait (command <*>)
wait  (command 2885),wait (command {{number}}),wait (command <*>)
wait  (command 2909),wait (command {{number}}),wait (command <*>)
boot  (command 2960),boot (command {{command_id}}),boot (command <*>)
wait  (command 2963),wait (command {{number}}),wait (command <*>)
boot  (command 2999),boot (command {{command_id}}),boot (command <*>)
halt  (command 2992),halt (command {{command_id}}),halt (command <*>)
wait  (command 3087),wait (command {{number}}),wait (command <*>)
wait  (command 3079),wait (command {{number}}),wait (command <*>)
wait  (command 3078),wait (command {{number}}),wait (command <*>)
