Content,Tmps,EventTemplate
"Registered signal handlers for [TERM, HUP, INT]","R
e
g
i
s
t
e
r
e
d
 
s
i
g
n
a
l
 
h
a
n
d
l
e
r
s
 
f
o
r
 
[
T
E
R
M
,
 
H
U
P
,
 
I
N
T
]","Registered signal handlers for [TERM, HUP, INT]"
"Changing view acls to: yarn,curi","C
h
a
n
g
i
n
g
 
v
i
e
w
 
a
c
l
s
 
t
o
:
 
y
a
r
n
,
c
u
r
i","Changing view acls to: yarn,curi"
"Changing modify acls to: yarn,curi","C
h
a
n
g
i
n
g
 
m
o
d
i
f
y
 
a
c
l
s
 
t
o
:
 
y
a
r
n
,
c
u
r
i","Changing modify acls to: yarn,curi"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","S
e
c
u
r
i
t
y
M
a
n
a
g
e
r
:
 
a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
d
i
s
a
b
l
e
d
;
 
u
i
 
a
c
l
s
 
d
i
s
a
b
l
e
d
;
 
u
s
e
r
s
 
w
i
t
h
 
v
i
e
w
 
p
e
r
m
i
s
s
i
o
n
s
:
 
S
e
t
(
y
a
r
n
,
 
c
u
r
i
)
;
 
u
s
e
r
s
 
w
i
t
h
 
m
o
d
i
f
y
 
p
e
r
m
i
s
s
i
o
n
s
:
 
S
e
t
(
y
a
r
n
,
 
c
u
r
i
)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"Changing view acls to: yarn,curi","C
h
a
n
g
i
n
g
 
v
i
e
w
 
a
c
l
s
 
t
o
:
 
y
a
r
n
,
c
u
r
i","Changing view acls to: yarn,curi"
"Changing modify acls to: yarn,curi","C
h
a
n
g
i
n
g
 
m
o
d
i
f
y
 
a
c
l
s
 
t
o
:
 
y
a
r
n
,
c
u
r
i","Changing modify acls to: yarn,curi"
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","S
e
c
u
r
i
t
y
M
a
n
a
g
e
r
:
 
a
u
t
h
e
n
t
i
c
a
t
i
o
n
 
d
i
s
a
b
l
e
d
;
 
u
i
 
a
c
l
s
 
d
i
s
a
b
l
e
d
;
 
u
s
e
r
s
 
w
i
t
h
 
v
i
e
w
 
p
e
r
m
i
s
s
i
o
n
s
:
 
S
e
t
(
y
a
r
n
,
 
c
u
r
i
)
;
 
u
s
e
r
s
 
w
i
t
h
 
m
o
d
i
f
y
 
p
e
r
m
i
s
s
i
o
n
s
:
 
S
e
t
(
y
a
r
n
,
 
c
u
r
i
)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
Slf4jLogger started,"S
l
f
4
j
L
o
g
g
e
r
 
s
t
a
r
t
e
d",Slf4jLogger started
Starting remoting,"S
t
a
r
t
i
n
g
 
r
e
m
o
t
i
n
g",Starting remoting
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],"R
e
m
o
t
i
n
g
 
s
t
a
r
t
e
d
;
 
l
i
s
t
e
n
i
n
g
 
o
n
 
a
d
d
r
e
s
s
e
s
 
:
[
{
{
v
a
r
i
a
b
l
e
}
}
]",Remoting started; listening on addresses :[<*>]
Successfully started service 'sparkExecutorActorSystem' on port 55904.,"S
u
c
c
e
s
s
f
u
l
l
y
 
s
t
a
r
t
e
d
 
s
e
r
v
i
c
e
 
'
s
p
a
r
k
E
x
e
c
u
t
o
r
A
c
t
o
r
S
y
s
t
e
m
'
 
o
n
 
p
o
r
t
 
{
{
v
a
r
i
a
b
l
e
}
}
.",Successfully started service 'sparkExecutorActorSystem' on port <*>.
Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,"C
r
e
a
t
e
d
 
l
o
c
a
l
 
d
i
r
e
c
t
o
r
y
 
a
t
 
/
o
p
t
/
h
d
f
s
/
n
o
d
e
m
a
n
a
g
e
r
/
u
s
e
r
c
a
c
h
e
/
c
u
r
i
/
a
p
p
c
a
c
h
e
/
a
p
p
l
i
c
a
t
i
o
n
_
1
4
8
5
2
4
8
6
4
9
2
5
3
_
0
1
4
7
/
b
l
o
c
k
m
g
r
-
7
0
2
9
3
f
7
2
-
8
4
4
a
-
4
b
3
9
-
9
a
d
6
-
f
b
0
a
d
7
e
3
6
4
e
4",Created local directory at <*>
