Content,Tmps,EventTemplate
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","p
r
i
n
t
F
r
e
e
z
i
n
g
D
i
s
p
l
a
y
L
o
g
s
o
p
e
n
i
n
g
 
a
p
p
 
w
t
o
k
e
n
 
=
 
{
{
v
a
r
i
a
b
l
e
}
}
,
 
a
l
l
D
r
a
w
n
=
 
f
a
l
s
e
,
 
s
t
a
r
t
i
n
g
D
i
s
p
l
a
y
e
d
 
=
 
 
f
a
l
s
e
,
 
s
t
a
r
t
i
n
g
M
o
v
e
d
 
=
 
 
f
a
l
s
e
,
 
i
s
R
e
l
a
u
n
c
h
i
n
g
 
=
 
 
f
a
l
s
e","printFreezingDisplayLogsopening app wtoken = <*>, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","a
c
q
u
i
r
e
 
l
o
c
k
=
{
{
v
a
r
i
a
b
l
e
}
}
,
 
f
l
a
g
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
 
t
a
g
=
""
{
{
v
a
r
i
a
b
l
e
}
}
""
,
 
n
a
m
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
 
w
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
 
u
i
d
=
{
{
v
a
r
i
a
b
l
e
}
}
,
 
p
i
d
=
{
{
v
a
r
i
a
b
l
e
}
}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","r
e
a
d
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
p
o
l
i
c
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
k
e
f
u
l
n
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
k
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
u
a
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
t
c
o
m
p
l
e
t
e
d
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
s
t
i
n
p
r
o
g
r
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
i
t
m
o
d
e
e
n
a
b
l
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
o
d
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
a
n
u
a
l
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
u
t
o
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
d
j
=
{
{
v
a
r
i
a
b
l
e
}
}
.
0
u
s
e
r
I
d
=
{
{
v
a
r
i
a
b
l
e
}
}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,"S
k
i
p
p
i
n
g
 
A
p
p
W
i
n
d
o
w
T
o
k
e
n
{
{
{
v
a
r
i
a
b
l
e
}
}
}
 
-
-
 
g
o
i
n
g
 
t
o
 
h
i
d
e",Skipping <*>} -- going to hide
visible is system.time.showampm,"r
e
a
d
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
p
o
l
i
c
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
k
e
f
u
l
n
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
k
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
u
a
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
t
c
o
m
p
l
e
t
e
d
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
s
t
i
n
p
r
o
g
r
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
i
t
m
o
d
e
e
n
a
b
l
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
o
d
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
a
n
u
a
l
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
u
t
o
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
d
j
=
{
{
v
a
r
i
a
b
l
e
}
}
.
0
u
s
e
r
I
d
=
{
{
v
a
r
i
a
b
l
e
}
}",visible is system.time.showampm
mVisiblity.getValue is false,"m
V
i
s
i
b
l
i
t
y
.
g
e
t
V
a
l
u
e
 
i
s
 
f
a
l
s
e",mVisiblity.getValue is <*>
visible is system.charge.show,"r
e
a
d
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
p
o
l
i
c
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
k
e
f
u
l
n
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
k
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
u
a
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
t
c
o
m
p
l
e
t
e
d
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
s
t
i
n
p
r
o
g
r
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
i
t
m
o
d
e
e
n
a
b
l
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
o
d
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
a
n
u
a
l
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
u
t
o
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
d
j
=
{
{
v
a
r
i
a
b
l
e
}
}
.
0
u
s
e
r
I
d
=
{
{
v
a
r
i
a
b
l
e
}
}",visible is system.charge.show
mVisiblity.getValue is false,"m
V
i
s
i
b
l
i
t
y
.
g
e
t
V
a
l
u
e
 
i
s
 
f
a
l
s
e",mVisiblity.getValue is <*>
visible is system.call.count gt 0,"r
e
a
d
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
p
o
l
i
c
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
k
e
f
u
l
n
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
k
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
u
a
s
u
m
m
a
r
y
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
t
c
o
m
p
l
e
t
e
d
=
{
{
v
a
r
i
a
b
l
e
}
}
,
b
o
o
s
t
i
n
p
r
o
g
r
e
s
s
=
{
{
v
a
r
i
a
b
l
e
}
}
,
w
a
i
t
m
o
d
e
e
n
a
b
l
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
o
d
e
=
{
{
v
a
r
i
a
b
l
e
}
}
,
m
a
n
u
a
l
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
u
t
o
=
{
{
v
a
r
i
a
b
l
e
}
}
,
a
d
j
=
{
{
v
a
r
i
a
b
l
e
}
}
.
0
u
s
e
r
I
d
=
{
{
v
a
r
i
a
b
l
e
}
}",visible is system.call.count gt <*>
mVisiblity.getValue is false,"m
V
i
s
i
b
l
i
t
y
.
g
e
t
V
a
l
u
e
 
i
s
 
f
a
l
s
e",mVisiblity.getValue is <*>
