Content,Tmps,EventTemplate
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,"{
{
v
a
r
i
a
b
l
e
}
}
(
{
{
v
a
r
i
a
b
l
e
}
}
)
:
:
l
i
s
t
e
n
e
r
C
a
l
l
b
a
c
k
 
-
 
T
h
u
n
d
e
r
b
o
l
t
 
H
P
D
 
p
a
c
k
e
t
 
f
o
r
 
r
o
u
t
e
 
=
 
{
{
v
a
r
i
a
b
l
e
}
}
 
p
o
r
t
 
=
 
{
{
v
a
r
i
a
b
l
e
}
}
 
u
n
p
l
u
g
 
=
 
{
{
v
a
r
i
a
b
l
e
}
}",<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
Thermal pressure state: 1 Memory pressure state: 0,"T
h
e
r
m
a
l
 
p
r
e
s
s
u
r
e
 
s
t
a
t
e
:
 
{
{
v
a
r
i
a
b
l
e
}
}
 
M
e
m
o
r
y
 
p
r
e
s
s
u
r
e
 
s
t
a
t
e
:
 
{
{
v
a
r
i
a
b
l
e
}
}",Thermal pressure state: <*> Memory pressure state: <*>
FA||Url||taskID[2019352994] dealloc,"F
A
|
|
U
r
l
|
|
t
a
s
k
I
D
[
{
{
v
a
r
i
a
b
l
e
}
}
]
 
d
e
a
l
l
o
c",FA||Url||taskID[<*>] dealloc
ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],"A
R
P
T
:
 
{
{
v
a
r
i
a
b
l
e
}
}
:
 
A
i
r
P
o
r
t
_
B
r
c
m
4
3
x
x
:
:
s
y
n
c
P
o
w
e
r
S
t
a
t
e
:
 
W
W
E
N
[
e
n
a
b
l
e
d
]",ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],"A
R
P
T
:
 
{
{
v
a
r
i
a
b
l
e
}
}
:
 
A
i
r
P
o
r
t
_
B
r
c
m
4
3
x
x
:
:
p
l
a
t
f
o
r
m
W
o
W
E
n
a
b
l
e
:
 
W
W
E
N
[
d
i
s
a
b
l
e
]",ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),"m
D
N
S
_
D
e
r
e
g
i
s
t
e
r
I
n
t
e
r
f
a
c
e
:
 
F
r
e
q
u
e
n
t
 
t
r
a
n
s
i
t
i
o
n
s
 
f
o
r
 
i
n
t
e
r
f
a
c
e
 
{
{
v
a
r
i
a
b
l
e
}
}
 
(
{
{
v
a
r
i
a
b
l
e
}
}
)",mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","A
R
P
T
:
 
{
{
v
a
r
i
a
b
l
e
}
}
:
 
{
{
v
a
r
i
a
b
l
e
}
}
 
I
n
f
o
r
m
a
t
i
o
n
:
 
o
n
S
l
e
e
p
,
 
 
S
l
e
e
p
T
y
p
e
:
 
N
o
r
m
a
l
 
S
l
e
e
p
,
 
 
'
E
x
t
e
r
n
a
l
C
o
n
n
e
c
t
e
d
'
:
 
Y
e
s
,
 
'
T
i
m
e
R
e
m
a
i
n
i
n
g
'
:
 
0
,","ARPT: <*>: <*> Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,"
"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","A
R
P
T
:
 
{
{
v
a
r
i
a
b
l
e
}
}
:
 
w
l
0
:
 
w
l
_
u
p
d
a
t
e
_
t
c
p
k
e
e
p
_
s
e
q
:
 
O
r
i
g
i
n
a
l
 
S
e
q
:
 
{
{
v
a
r
i
a
b
l
e
}
}
,
 
A
c
k
:
 
{
{
v
a
r
i
a
b
l
e
}
}
,
 
W
i
n
 
s
i
z
e
:
 
4
0
9
6","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,"A
R
P
T
:
 
{
{
v
a
r
i
a
b
l
e
}
}
:
 
A
R
P
T
:
 
W
a
k
e
 
R
e
a
s
o
n
:
 
W
a
k
e
 
o
n
 
S
c
a
n
 
o
f
f
l
o
a
d",ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"-
[
N
e
t
w
o
r
k
A
n
a
l
y
t
i
c
s
E
n
g
i
n
e
 
_
w
r
i
t
e
J
o
u
r
n
a
l
R
e
c
o
r
d
:
f
r
o
m
C
e
l
l
F
i
n
g
e
r
p
r
i
n
t
:
k
e
y
:
a
t
L
O
I
:
o
f
K
i
n
d
:
l
q
m
:
i
s
F
a
u
l
t
y
:
]
 
H
a
s
h
i
n
g
 
o
f
 
t
h
e
 
p
r
i
m
a
r
y
 
k
e
y
 
f
a
i
l
e
d
.
 
D
r
o
p
p
i
n
g
 
t
h
e
 
j
o
u
r
n
a
l
 
r
e
c
o
r
d
.",__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
