EventId,EventTemplate
E1,PacketResponder <*> for block <*> terminating
E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
E3,Received block <*> of size <*> from <*>
E4,Receiving block <*> src: <*> dest: <*>
E5,BLOCK* NameSystem.allocateBlock: <*>. <*>
E6,Verification succeeded for <*>
E7,Deleting block <*> file <*>
E8,<*> Served block <*> to <*>
E9,<*>:Got exception while serving <*> to <*>:
E10,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>
E11,<*> Starting thread to transfer block <*> to <*>
E12,BLOCK* ask <*> to delete <*>
E13,Received block <*> src: <*> dest: <*> of size <*>
E14,BLOCK* ask <*> to replicate <*> to datanode(s) <*>
