LineId,EventId,Content,EventTemplate
1,E1,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
2,E2,Invalid user webmaster from 173.234.31.186,Invalid user <*> from <*>
3,E3,input_userauth_request: invalid user webmaster [preauth],input_userauth_request: invalid user <*> [preauth]
4,E4,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user <*>
5,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
6,E6,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
7,E7,Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth]
8,E7,Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth]
9,E2,Invalid user test9 from 52.80.34.196,Invalid user <*> from <*>
10,E3,input_userauth_request: invalid user test9 [preauth],input_userauth_request: invalid user <*> [preauth]
11,E4,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user <*>
12,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
13,E6,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
14,E8,Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
15,E1,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
16,E2,Invalid user webmaster from 173.234.31.186,Invalid user <*> from <*>
17,E3,input_userauth_request: invalid user webmaster [preauth],input_userauth_request: invalid user <*> [preauth]
18,E4,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user <*>
19,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
20,E6,Failed password for invalid user webmaster from 173.234.31.186 port 39257 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
21,E7,Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth]
22,E2,Invalid user chen from 202.100.179.208,Invalid user <*> from <*>
23,E3,input_userauth_request: invalid user chen [preauth],input_userauth_request: invalid user <*> [preauth]
24,E4,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user <*>
25,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=202.100.179.208,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
26,E6,Failed password for invalid user chen from 202.100.179.208 port 32484 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
27,E8,Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
28,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
29,E9,Failed password for root from 5.36.59.76 port 42393 ssh2,Failed password for <*> from <*> port <*> <*>
30,E10,message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],message repeated <*> times: [ Failed password for <*> from <*> port <*> <*>]
31,E11,Disconnecting: Too many authentication failures for root [preauth],Disconnecting: Too many authentication failures for <*> [preauth]
32,E12,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,PAM <*> more authentication failures; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>
33,E13,PAM service(sshd) ignoring max retries; 6 > 3,PAM service(<*>) ignoring max retries; <*> > <*>
34,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
35,E9,Failed password for root from 112.95.230.3 port 45378 ssh2,Failed password for <*> from <*> port <*> <*>
36,E8,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
37,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
38,E9,Failed password for root from 112.95.230.3 port 47068 ssh2,Failed password for <*> from <*> port <*> <*>
39,E8,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
40,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
41,E9,Failed password for root from 112.95.230.3 port 49188 ssh2,Failed password for <*> from <*> port <*> <*>
42,E8,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
43,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
44,E9,Failed password for root from 112.95.230.3 port 50999 ssh2,Failed password for <*> from <*> port <*> <*>
45,E8,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
46,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
47,E9,Failed password for root from 112.95.230.3 port 52660 ssh2,Failed password for <*> from <*> port <*> <*>
48,E8,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
49,E2,Invalid user pgadmin from 112.95.230.3,Invalid user <*> from <*>
50,E3,input_userauth_request: invalid user pgadmin [preauth],input_userauth_request: invalid user <*> [preauth]
51,E4,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user <*>
52,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
53,E6,Failed password for invalid user pgadmin from 112.95.230.3 port 54087 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
