EventId,EventTemplate
E1,Notification time out: <*>
E2,Received connection request /<*>
E3,Send worker <*> thread
E4,Interrupted while waiting for message on queue
E5,"Connection broken for id <*>, my id = <*>, error = <*>"
E6,Interrupting <*>
E7,Closed socket connection for client <*> which had sessionid <*>
E8,caught end of stream exception
E9,Client attempting to renew session <*> at <*>
E10,Client attempting to establish new session at /<*>
E11,Established session <*> with negotiated timeout <*> for client <*>
E12,Accepted socket connection from <*>
E13,Unexpected Exception:
E14,Connection request from old client /<*>; will be dropped if server is in r-o mode
E15,Server environment:user.dir=<*>
E16,Cannot open channel to <*> at election address <*>
E17,Processed session termination for sessionid: <*>
E18,"Expiring session <*>, timeout of <*> exceeded"
E19,******* GOODBYE /<*> ********
E20,LOOKING
E21,My election bind port: <*>
E22,"Have smaller server identifier, so dropping the connection: (<*>, <*>)"
E23,FOLLOWING
E24,"New election. My id = <*>, proposed zxid=<*>"
E25,Server environment:host.name=<*>
E26,FOLLOWING - LEADER ELECTION TOOK - <*>
E27,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)"
E28,autopurge.snapRetainCount set to <*>
E29,Server environment:java.vendor=<*>
E30,Revalidating client: <*>
E31,"Server environment:zookeeper.version=<*>, built on <*> GMT"
E32,Server environment:user.name=<*>
E33,Server environment:os.name=<*>
E34,Closed socket connection for client /<*> (no session established for client)
E35,Exception causing close of session <*> due to <*>: <*>
E36,tickTime set to <*>
E37,Unexpected exception causing shutdown while sock still open
E38,Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = <*> for <*>
E39,Starting <*>
E40,Snapshotting: <*> to <*>
E41,autopurge.purgeInterval set to <*>
E42,Follower sid: <*> : <*> : <*>
E43,maxSessionTimeout set to <*>
E44,Server environment:java.class.path=<*>
E45,Have quorum of supporters; starting up and setting last processed zxid: <*>
E46,shutdown of request processor complete
E47,First is <*>
E48,Reading snapshot <*>
E49,Sending <*>
E50,Getting a snapshot from leader
E51,minSessionTimeout set to <*>
E52,Server environment:java.home=<*>
