EventId,EventTemplate
E1,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
E2,Invalid user <*> from <*>
E3,input_userauth_request: invalid user <*> [preauth]
E4,pam_unix(sshd:auth): check pass; user <*>
E5,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
E6,Failed password for invalid user <*> from <*> port <*> ssh2
E7,Connection closed by <*> [preauth]
E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
E9,Failed password for <*> from <*> port <*> <*>
E10,message repeated <*> times: [ Failed password for <*> from <*> port <*> <*>]
E11,Disconnecting: Too many authentication failures for <*> [<*>]
E12,PAM <*> more authentication failures; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>
E13,PAM service(<*>) ignoring max retries; <*> > <*>
E14,Did not receive identification string from <*>
E15,error: Received disconnect from <*>: <*>: <*>
E16,Received disconnect from <*>: <*>: <*>. [<*>]
E17,Failed <*> for <*> from <*> port <*> <*>
E18,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
E19,PAM <*> more authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
E20,Accepted password for <*> from <*> port <*> ssh2
E21,pam_unix(sshd:session): session opened for user <*> by (uid=<*>)
E22,pam_unix(sshd:session): session closed for user <*>
E23,fatal: Write failed: <*> [preauth]
