Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,23,27,0.724,0.453,0.760,0.435,0.370,0.400
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,43,43,1.000,0.353,1.000,0.605,0.605,0.605
HPC,-1.00,42,46,0.915,0.624,0.886,0.500,0.457,0.477
Zookeeper,-1.00,45,50,0.994,0.343,0.926,0.400,0.360,0.379
HealthApp,-1.00,72,75,0.900,0.737,0.939,0.528,0.507,0.517
Android,-1.00,147,166,0.848,0.562,0.767,0.442,0.392,0.415
Spark,-1.00,35,36,0.999,0.772,0.958,0.429,0.417,0.423
BGL,-1.00,105,120,0.886,0.754,0.818,0.562,0.492,0.524
Linux,-1.00,110,118,0.752,0.168,0.939,0.473,0.441,0.456
Mac,0.81,288,341,0.700,0.295,0.744,0.333,0.282,0.305
Thunderbird,-1.00,168,149,0.951,0.370,0.814,0.339,0.383,0.360
Hadoop,-1.00,97,114,0.956,0.154,0.882,0.206,0.175,0.190
Windows,-1.00,56,50,0.686,0.292,0.811,0.268,0.300,0.283
