LineId,EventId,Content,EventTemplate
1,E1,Created MRAppMaster for application appattempt_1445144423722_0020_000001,Created MRAppMaster for application <*>
2,E2,Executing with tokens:,Executing with <*>
3,E3,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: <*>, Service: <*>, Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
4,E4,Using mapred newApiCommitter.,Using <*> newApiCommitter.
5,E5,OutputCommitter set in config null,OutputCommitter set in config <*>
6,E6,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is <*>
7,E7,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class <*> for class <*>
8,E7,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class <*> for class <*>
9,E7,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class <*> for class <*>
10,E7,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class <*> for class <*>
11,E7,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class <*> for class <*>
12,E7,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class <*> for class <*>
13,E7,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class <*> for class <*>
14,E7,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class <*> for class <*>
15,E8,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>]
16,E8,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>]
17,E8,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>]
18,E9,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled
19,E7,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Registering class <*> for class <*>
20,E10,loaded properties from hadoop-metrics2.properties,loaded properties from <*>
21,E11,Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> second(s).
22,E12,MRAppMaster metrics system started,<*> metrics system started
23,E13,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,Adding job token for <*> to jobTokenSecretManager
24,E14,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,Not uberizing <*> because: not enabled; too many maps; too much input;
25,E15,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,Input size for job <*> = <*>. Number of splits = <*>
26,E16,Number of reduces for job job_1445144423722_0020 = 1,Number of reduces for job <*> = <*>
27,E17,job_1445144423722_0020Job Transitioned from NEW to INITED,<*> Transitioned from <*> to <*>
28,E18,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","MRAppMaster launching normal, non-uberized, multi-container job <*>."
29,E19,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class <*>
30,E20,Starting Socket Reader #1 for port 62260,Starting Socket Reader <*> for port <*>
31,E21,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol <*> to the server
32,E22,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,Instantiated MRClientService at <*>
33,E23,IPC Server Responder: starting,IPC Server Responder: <*>
34,E24,IPC Server listener on 62260: starting,IPC Server listener on <*>: starting
35,E25,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to <*> via <*>
36,E26,Http request log for http.requests.mapreduce is not defined,Http request log for <*> is not defined
37,E27,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter <*> (class=<*>)
38,E28,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter <*> (class=<*>) to context <*>
39,E28,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter <*> (class=<*>) to context <*>
40,E29,adding path spec: /mapreduce/*,adding path spec: <*>
41,E29,adding path spec: /ws/*,adding path spec: <*>
42,E30,Jetty bound to port 62267,Jetty bound to port <*>
43,E31,jetty-6.1.26,jetty-<*>
44,E32,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,Extract jar:<*> to <*>
45,E33,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>
46,E34,Web app /mapreduce started at 62267,Web app <*> started at <*>
47,E35,Registered webapp guice modules,Registered webapp <*> modules
48,E19,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class <*>
49,E36,JOB_CREATE job_1445144423722_0020,JOB_CREATE <*>
50,E37,nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:true
51,E38,maxTaskFailuresPerNode is 3,maxTaskFailuresPerNode is <*>
52,E39,blacklistDisablePercent is 33,blacklistDisablePercent is <*>
53,E20,Starting Socket Reader #1 for port 62270,Starting Socket Reader <*> for port <*>
54,E24,IPC Server listener on 62270: starting,IPC Server listener on <*>: starting
55,E23,IPC Server Responder: starting,IPC Server Responder: <*>
56,E40,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,Connecting to ResourceManager at <*>
57,E41,"maxContainerCapability: <memory:8192, vCores:32>","maxContainerCapability: <memory:<*>, vCores:<*>"
58,E42,queue: default,queue: <*>
59,E43,Upper limit on the thread pool size is 500,Upper limit on the thread pool size is <*>
60,E44,yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>
61,E17,job_1445144423722_0020Job Transitioned from INITED to SETUP,<*> Transitioned from <*> to <*>
62,E45,Processing the event EventType: JOB_SETUP,Processing the event EventType: <*>
63,E17,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,<*> Transitioned from <*> to <*>
64,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
65,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
66,E17,task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
67,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
68,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
69,E17,task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
70,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
71,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
72,E17,task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
73,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
74,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
75,E17,task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
76,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
77,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
78,E17,task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
79,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
80,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
81,E17,task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
82,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
83,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
84,E17,task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
85,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
86,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
87,E17,task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
88,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
89,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
90,E17,task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
91,E46,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
92,E46,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
93,E17,task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
94,E17,task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,<*> Transitioned from <*> to <*>
95,E17,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
96,E17,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
97,E17,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
98,E17,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
99,E17,attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
100,E17,attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
101,E17,attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
102,E17,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
103,E17,attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
104,E17,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
105,E17,attempt_1445144423722_0020_r_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> Transitioned from <*> to <*>
106,E47,"mapResourceRequest:<memory:1024, vCores:1>","mapResourceRequest:<memory:<*>, vCores:<*>"
107,E48,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist","Event Writer setup for JobId: <*>, File: <*>"
108,E49,"reduceResourceRequest:<memory:1024, vCores:1>","reduceResourceRequest:<memory:<*>, vCores:<*>"
109,E50,Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
110,E51,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
111,E52,"Recalculating schedule, headroom=<memory:10240, vCores:-17>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
112,E53,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
113,E52,"Recalculating schedule, headroom=<memory:10240, vCores:-17>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
114,E53,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
115,E54,Got allocated containers 1,Got allocated containers <*>
116,E46,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>
117,E55,Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,Assigned container <*> to <*>
118,E52,"Recalculating schedule, headroom=<memory:8192, vCores:-19>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
119,E53,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
