EventId,EventTemplate
E1,session closed for user <*>
E2,session opened for user <*> by (uid=<*>)
E3,(<*>) CMD (run-parts <*>)
E4,data_thread() got not answer from any [<*>] datasource
E5,"synchronized to <*>, stratum <*>"
E6,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
E7,[<*>]: No topology change
E8,[<*>]: No configuration change required
E9,Local disconnected: <*>
E10,connection lost: '<*>'
E11,unable to qualify my own domain name (<*>) -- using short name
E12,"jA9J1UvC004306: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>"
E13,"jA9J1UvC004306: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
E14,"jA9J1Wd7019391: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>"
E15,"jA9J1Wd7019391: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>: Connection refused by [<*>]"
E16,"jA9J1WSU011176: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>"
E17,"jA9J1WSU011176: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>: Connection refused by [<*>]"
E18,"jA9J1WFE024258: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>"
E19,"jA9J1WFE024258: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]"
E20,DHCPDISCOVER from <*> via eth1
E21,DHCPOFFER on <*> to <*> via eth1
E22,"jA9J1dQ7016560: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>"
E23,"jA9J1dQ7016560: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>: <*> by [<*>]"
E24,DHCPDISCOVER from <*> via eth1: network <*>: no free leases
E25,DHCPACK on <*> to <*> via eth1
E26,DHCPREQUEST for <*> (<*>) from <*> via eth1
E27,START: tftp pid=<*> from=<*>
E28,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
E29,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
E30,kernel time sync disabled <*>
E31,time reset +<*> s
E32,Received SNMP packet(s) from #<*>#
E33,kernel time sync enabled <*>
E34,(<*>) CMD (<*>/get_temps <*>)
E35,My unqualified host name (<*>) unknown; sleeping for retry
E36,CentOS-<*> (Kernel Module GPG key)
E37,(supports <*>)
E38,DSDT (v001 <*> <*> <*> <*> <*>) @ <*>
E39,FADT (v001 <*> <*> <*> <*> <*>) @ <*>
E40,HPET (<*> <*> <*> <*> <*> <*>) @ <*>
E41,HPET id: <*> base: <*>
E42,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl)
E43,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*>)
E44,IOAPIC (id[<*>] address[<*>] gsi_base[<*>])
E45,IRQ0 used by override.
E46,IRQ2 used by override.
E47,IRQ9 used by override.
E48,Interpreter enabled
E49,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled)
E50,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>])
E51,Local APIC address <*>
E52,MADT (v001 <*> <*> <*> <*> <*>) @ <*>
E53,MCFG (v001 <*> <*> <*> <*> <*>) @ <*>
E54,PCI Interrupt Link <*> (IRQs <*>) <*>
E55,PCI Interrupt Routing Table [<*>]
E56,PCI Root Bridge [<*>] (<*>)
E57,"PCI interrupt <*> -> GSI <*> (<*>, <*>) -> IRQ <*>"
E58,Power Button (<*>) [<*>]
E59,Processor [<*>] (supports <*>)
E60,RSDP (<*> <*> ) @ <*>
E61,RSDT (v001 <*> <*> <*> <*> <*>) @ <*>
E62,SPCR (v001 <*> <*> <*> <*> <*> <*>) @ <*>
E63,Subsystem revision <*>
E64,Using IOAPIC for interrupt routing
E65,Intel(R) Xeon(TM) CPU <*> stepping <*>
E66,L2 cache: <*>
E67,Physical Processor ID: <*>
E68,"Trace cache: <*> uops, L1 D cache: <*>"
E69,colour VGA+ <*>
E70,mounted filesystem with ordered data mode.
E71,"sys_ia32.c,v <*> <*> <*> <*> Exp $"
E72,"apic_id <*>, version <*>, address <*>, GSI <*>-<*>"
E73,"routing cache hash table of <*> buckets, <*>"
E74,PCI Hot Plug PCI Core version: <*>
