EventId,EventTemplate
E1,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
E2,check pass; user <*>
E3,session opened for user <*> by (uid=<*>)
E4,session closed for user <*>
E5,ALERT exited abnormally with [<*>]
E6,connection from <*> (<*>) at <*>
E7,User unknown timed out after <*> seconds at <*> <*> <*> <*> <*>
E8,cupsd shutdown succeeded
E9,cupsd startup succeeded
E10,restart.
E11,Received SNMP packet(s) from <*>
E12,Authentication failed from <*> (<*>): Permission denied in replay cache code
E13,<*> authentication failed
E14,Authentication failed from <*> (<*>): Software caused connection abort
E15,*** info [<*>(<*>)]:
E16,imps2: Auto-detected intellimouse PS/<*>
E17,session opened for user <*> by LOGIN(uid=<*>)
E18,ROOT LOGIN ON <*>
E19,removing device node '<*>'
E20,creating device node '<*>'
E21,Couldn't authenticate user
E22,"ANONYMOUS FTP LOGIN FROM <*>, (<*>)"
E23,notify question section contains no SOA
E24,getpeername (ftpd): Transport endpoint is not connected
E25,warning: can't get client address: Connection reset by peer
E26,syslogd startup succeeded
E27,"klogd <*>, log source = <*> started."
E28,Linux version <*> (<*>) (gcc version <*> <*> (<*> <*> <*>-<*>)) <*> <*> <*> <*> EDT <*>
E29,BIOS-provided physical RAM map:
E30,BIOS-e820: <*> - <*> (usable)
E31,BIOS-e820: <*> - <*> (reserved)
E32,<*> HIGHMEM available.
E33,<*> LOWMEM available.
E34,zapping low mappings.
E35,klogd startup succeeded
E36,On node <*> totalpages: <*>
E37,"DMA zone: <*> pages, LIFO batch:<*>"
E38,"Normal zone: <*> pages, LIFO batch:<*>"
E39,irqbalance startup succeeded
E40,"HighMem zone: <*> pages, LIFO batch:<*>"
E41,DMI <*> present.
E42,ACPI disabled because your bios is from <*> and too old
E43,You can enable it with <*>
E44,Built <*> zonelists
E45,Kernel command line: <*> root=<*> rhgb quiet
E46,mapped <*>/4G trampoline to <*>.
E47,Initializing CPU#<*>
E48,"CPU <*> irqstacks, hard=<*> soft=<*>"
E49,portmap startup succeeded
E50,PID hash table entries: <*> (order <*>: <*> bytes)
E51,Detected <*> MHz processor.
E52,Version <*> Starting
E53,Using tsc for high-res timesource
E54,rpc.statd startup succeeded
E55,Console: colour <*> <*>
E56,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
E57,Calibrating delay loop... <*> BogoMIPS
E58,Security Scaffold <*> initialized
E59,SELinux: Initializing.
E60,SELinux: Starting in <*> mode
E61,"There is already a security framework initialized, register_security failed."
E62,Failure registering capabilities with the kernel
E63,<*>: Registering secondary module capability
E64,Capability LSM initialized
E65,rpc.idmapd startup succeeded
E66,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
E67,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)"
E68,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)"
E69,"CPU: L1 I cache: <*>, L1 D cache: <*>"
E70,CPU: L2 cache: <*>
E71,Intel machine check architecture supported.
E72,Intel machine check reporting enabled on CPU#<*>.
E73,CPU: <*> (Coppermine) stepping <*>
E74,Enabling fast FPU save and restore... done.
E75,Enabling unmasked SIMD FPU exception support... done.
E76,Checking <*> instruction... <*>.
E77,Initializing random number generator: <*>
E78,POSIX conformance testing by UNIFIX
E79,NET: Registered protocol family <*>
E80,"PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>"
E81,PCI: Using configuration type <*>
E82,mtrr: <*> (<*>)
E83,ACPI: Subsystem revision <*>
E84,ACPI: Interpreter disabled.
E85,Linux Plug and Play Support <*> (c) Adam Belay
E86,Starting pcmcia: succeeded
E87,usbcore: registered new driver <*>
E88,ACPI: ACPI tables contain no PCI IRQ routing entries
E89,PCI: Invalid ACPI-PCI IRQ routing table
E90,PCI: Probing PCI hardware
E91,PCI: Probing PCI hardware (bus <*>)
E92,Transparent bridge - <*>
E93,PCI: Using IRQ router PIIX/ICH [<*>] at <*>
E94,apm: BIOS version <*> Flags <*> (Driver version <*>)
E95,audit: initializing netlink socket (<*>)
E96,kernel.core_uses_pid = <*>
E97,HCI daemon ver <*> started
E98,hcid startup succeeded
E99,audit(<*>): initialized
E100,Setting network parameters: succeeded
E101,sdpd startup succeeded
E102,<*> <*> started
E103,"Total HugeTLB memory allocated, <*>"
E104,Bringing up loopback interface: <*>
E105,VFS: Disk quotas <*>
E106,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)"
E107,SELinux: Registering netfilter hooks
E108,Initializing Cryptographic API
E109,pci_hotplug: PCI Hot Plug PCI Core version: <*>
E110,isapnp: Scanning for PnP cards...
E111,isapnp: No Plug & Play device found
E112,<*> Time Clock Driver <*>
E113,Linux agpgart interface <*> (c) Dave Jones
