LineId,EventId,Content,EventTemplate
1,E1,Notification time out: 3200,Notification time out: <*>
2,E2,Received connection request /10.10.34.11:45307,Received connection request <*>
3,E3,Send worker leaving thread,Send worker leaving thread
4,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
5,E3,Send worker leaving thread,Send worker leaving thread
6,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
7,E2,Received connection request /10.10.34.13:57707,Received connection request <*>
8,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
9,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
10,E3,Send worker leaving thread,Send worker leaving thread
11,E3,Send worker leaving thread,Send worker leaving thread
12,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
13,E2,Received connection request /10.10.34.11:45382,Received connection request <*>
14,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
15,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
16,E6,Interrupting SendWorker,Interrupting SendWorker
17,E3,Send worker leaving thread,Send worker leaving thread
18,E6,Interrupting SendWorker,Interrupting SendWorker
19,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
20,E2,Received connection request /10.10.34.11:45440,Received connection request <*>
21,E6,Interrupting SendWorker,Interrupting SendWorker
22,E3,Send worker leaving thread,Send worker leaving thread
23,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
24,E6,Interrupting SendWorker,Interrupting SendWorker
25,E3,Send worker leaving thread,Send worker leaving thread
26,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
27,E2,Received connection request /10.10.34.13:57895,Received connection request <*>
28,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
29,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
30,E6,Interrupting SendWorker,Interrupting SendWorker
31,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
32,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
33,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
34,E3,Send worker leaving thread,Send worker leaving thread
35,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
36,E2,Received connection request /10.10.34.12:47727,Received connection request <*>
37,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
38,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
39,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
40,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
41,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
42,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
43,E2,Received connection request /10.10.34.13:58035,Received connection request <*>
44,E6,Interrupting SendWorker,Interrupting SendWorker
45,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
46,E6,Interrupting SendWorker,Interrupting SendWorker
47,E6,Interrupting SendWorker,Interrupting SendWorker
48,E2,Received connection request /10.10.34.12:47838,Received connection request <*>
49,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
50,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
51,E3,Send worker leaving thread,Send worker leaving thread
52,E6,Interrupting SendWorker,Interrupting SendWorker
53,E6,Interrupting SendWorker,Interrupting SendWorker
54,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
55,E6,Interrupting SendWorker,Interrupting SendWorker
56,E2,Received connection request /10.10.34.13:58116,Received connection request <*>
57,E2,Received connection request /10.10.34.11:45957,Received connection request <*>
58,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
59,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
60,E6,Interrupting SendWorker,Interrupting SendWorker
61,E6,Interrupting SendWorker,Interrupting SendWorker
62,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
63,E3,Send worker leaving thread,Send worker leaving thread
64,E2,Received connection request /10.10.34.13:58303,Received connection request <*>
65,E2,Received connection request /10.10.34.12:48096,Received connection request <*>
66,E3,Send worker leaving thread,Send worker leaving thread
67,E6,Interrupting SendWorker,Interrupting SendWorker
68,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
69,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
70,E6,Interrupting SendWorker,Interrupting SendWorker
71,E3,Send worker leaving thread,Send worker leaving thread
72,E6,Interrupting SendWorker,Interrupting SendWorker
73,E3,Send worker leaving thread,Send worker leaving thread
74,E2,Received connection request /10.10.34.12:48141,Received connection request <*>
75,E6,Interrupting SendWorker,Interrupting SendWorker
76,E3,Send worker leaving thread,Send worker leaving thread
77,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
78,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
79,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
80,E6,Interrupting SendWorker,Interrupting SendWorker
81,E2,Received connection request /10.10.34.13:58421,Received connection request <*>
82,E3,Send worker leaving thread,Send worker leaving thread
83,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
84,E3,Send worker leaving thread,Send worker leaving thread
85,E2,Received connection request /10.10.34.11:46128,Received connection request <*>
86,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
87,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
88,E6,Interrupting SendWorker,Interrupting SendWorker
89,E6,Interrupting SendWorker,Interrupting SendWorker
90,E2,Received connection request /10.10.34.13:58452,Received connection request <*>
91,E6,Interrupting SendWorker,Interrupting SendWorker
92,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
93,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
94,E3,Send worker leaving thread,Send worker leaving thread
95,E2,Received connection request /10.10.34.11:46173,Received connection request <*>
96,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
97,E2,Received connection request /10.10.34.12:48280,Received connection request <*>
98,E3,Send worker leaving thread,Send worker leaving thread
99,E5,"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
100,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
101,E4,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
