EventId,EventTemplate
E1,onStandStepChanged <*>
E2,onExtend:<*> <*> <*> <*>
E3,onReceive action: android.intent.action.SCREEN_ON
E4,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
E5,flush sensor data
E6,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
E8,calculateCaloriesWithCache totalCalories=<*>
E9,calculateAltitudeWithCache totalAltitude=<*>
E10,REPORT : <*> <*> <*> <*>
E11,onReceive action: android.intent.action.SCREEN_OFF
E12,isScreenOn <*>
E13,"screen status unknown,think screen on"
E14,processHandleBroadcastAction action:android.intent.action.TIME_TICK
E15,flushTempCacheToDB by <*>
E16,Alarm uploadStaticsToDB totalSteps=<*>
E17,writeDataToDB size <*>
E18,"upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>"
E19,getBinderPackageName packageName = com.huawei.health
E20,"getAppContext() isAppValid health or wear, packageName = <*>"
E21,insertHiHealthData() checkAppType <*> appID = <*>
E22,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>"
E23,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>"
E24,"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>"
E25,"new date =<*>, type=<*>,<*>,old=<*>"
E26,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>"
E27,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>"
E28,startListenerChange subscribeList = <*>
E29,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = <*>"
E30,insertHiHealthData() end totalTime = <*>
E31,uploadStaticsToDB() onResult type = <*> obj=<*>
E32,uploadStaticsToDB failed message=<*>
E33,checkInsertStatus <*> or <*> is enough
E34,"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>"
E35,"startInsertSportSync start auto sync,app is <*>"
E36,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>"
E37,"startInsertSportSync first <*> steps sync,do all sync"
E38,"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>"
E39,needAutoSync autoSyncSwitch is <*>
E40,"initDataPrivacy the dataPrivacy switch is <*>, start push health data!"
E41,initDataPrivacy the dataPrivacy is <*>
E42,"initUserPrivacy the userPrivacy switch is <*>, start push user data!"
E43,initUserPrivacy the userPrivacy is <*>
E44,ifCanSync not! no cloud version
E45,sendSyncFailedBroadcast
E46,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>"
E47,InsertCallBack() onSuccess type = <*> data=<*>
E48,InsertEvent success begin:<*> end:<*>
E49,setWriteDBLastDataMinute=<*>
E50,setWriteDBLastDataMinute success
E51,flush2DB result success
E52,"timeStamp back,extendReportTimeStamp=<*>"
E53,startTimer start autoSync
E54,stepSyncOrNot appSynTimes is <*>
E55,getTodaySportData mStepsRecordManager=<*>
E56,theDayChanged <*>
E57,initEnviroument
E58,getStepCounterStatus
E59,getStepCounterStatus= <*>
E60,reStartStepCounter
E61,registersensorsuccess: <*>
E62,clear()
E63,getTodayBasicStandardSteps= <*>##<*>##<*>
E64,tryToRecordAsBasicStepData bWrite <*>
E65,getDiffTotalSteps= <*>##<*>
E66,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>
E67,setDiffTotalSteps=<*>
E68,tryToReloadTodayBasicSteps1514044800223|<*>|<*>|<*>
E69,reload : <*> restar <*>
E70,next day:<*>
E71,setGoalNotifiShownRecord <*> <*>
E72,closeNotification...
E73,deleteHealthNotification()
E74,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>"
