LineId,EventId,Content,EventTemplate
1,E1,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack <*> with Core: <*>
2,E2,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
3,E2,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
4,E2,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
5,E3,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.
6,E4,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.
7,E5,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.
8,E6,SQM: Initializing online with Windows opt-in: False,SQM: Initializing online with Windows opt-in: <*>
9,E7,SQM: Cleaning up report files older than 10 days.,SQM: Cleaning up report files older than <*> days.
10,E8,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.
11,E9,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
