EventId,EventTemplate
E1,Created MRAppMaster for application <*>
E2,Executing with tokens:
E3,"Kind: <*>, Service: <*>, Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
E4,Using <*> newApiCommitter.
E5,OutputCommitter set in config <*>
E6,OutputCommitter is <*>
E7,Registering class <*> for class <*>
E8,Default file system [<*>]
E9,Emitting job history data to the timeline server is not enabled
E10,loaded properties from <*>
E11,Scheduled snapshot period at <*> second(s).
E12,MRAppMaster metrics system <*>
E13,Adding job token for <*> to jobTokenSecretManager
E14,Not uberizing <*> because: not enabled; too many maps; too much input;
E15,Input size for job <*> = <*>. Number of splits = <*>
E16,Number of reduces for job <*> = <*>
E17,<*> Transitioned from NEW to INITED
E18,"MRAppMaster launching normal, non-uberized, multi-container job <*>."
E19,Using callQueue class <*>
E20,Starting Socket Reader <*> for port <*>
E21,Adding protocol <*> to the server
E22,Instantiated MRClientService at <*>
E23,IPC Server Responder: <*>
E24,IPC Server listener on <*>: starting
E25,Logging to <*> via <*>
E26,Http request log for <*> is not defined
E27,Added global filter <*> (class=<*>)
E28,Added filter <*> (class=<*>) to context mapreduce
E29,Added filter <*> (class=<*>) to context static
E30,adding path spec: <*>
E31,Jetty bound to port <*>
E32,jetty-<*>
E33,Extract jar:<*> to <*>
E34,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>
E35,Web app <*> started at <*>
E36,Registered webapp guice modules
E37,JOB_CREATE <*>
E38,nodeBlacklistingEnabled:true
E39,maxTaskFailuresPerNode is <*>
E40,blacklistDisablePercent is <*>
E41,Connecting to ResourceManager at <*>
E42,"maxContainerCapability: <memory:<*>, vCores:<*>"
E43,queue: <*>
E44,Upper limit on the thread pool size is <*>
E45,yarn.client.max-cached-nodemanagers-proxies : <*>
E46,<*> Transitioned from INITED to SETUP
E47,Processing the event EventType: <*>
E48,<*> Transitioned from SETUP to RUNNING
E49,Resolved <*> to <*>
E50,<*> Task Transitioned from NEW to SCHEDULED
E51,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
E52,"mapResourceRequest:<memory:<*>, vCores:<*>"
E53,"Event Writer setup for JobId: <*>, File: <*>"
E54,"reduceResourceRequest:<memory:<*>, vCores:<*>"
E55,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E56,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
E57,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
E58,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
E59,Got allocated containers <*>
E60,Assigned container <*> to <*>
E61,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E62,The job-jar file on the remote FS is hdfs://<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>/job.jar
E63,The job-conf file on the remote FS is <*>
E64,Adding <*> tokens and <*> secret keys for NM use for launching container
E65,Size of containertokens_dob is <*>
E66,Putting shuffle token in <*>
E67,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
E68,Launching <*>
E69,Opening proxy : <*>
E70,Shuffle port returned by ContainerManager for <*> : <*>
E71,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>]
E72,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
E73,ATTEMPT_START <*>
E74,<*> Task Transitioned from SCHEDULED to RUNNING
E75,Auth successful for <*> (auth:<*>)
E76,JVM with ID : <*> asked for a task
E77,JVM with ID: <*> given task: <*>
E78,Progress of TaskAttempt <*> is : <*>
E79,"Cannot assign container Container: [ContainerId: <*>, NodeId: <*>, NodeHttpAddress: <*>, Resource: <memory:<*>, vCores:<*>, Priority: <*>, Token: Token { kind: <*>, service: <*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*> or no pending map tasks - maps.isEmpty=<*>"
E80,Received completed container <*>
E81,Container complete event for unknown container id <*>
E82,Done acknowledgement from <*>
E83,<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP
E84,KILLING <*>
E85,<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
E86,Task succeeded with attempt <*>
E87,<*> Task Transitioned from RUNNING to SUCCEEDED
E88,Num completed Tasks: <*>
E89,Reduce slow start threshold reached. Scheduling reduces.
E90,All maps assigned. Ramping up all remaining reduces:<*>
