LineId,EventId,Content,EventTemplate
1,E1,session closed for user root,session closed for user <*>
2,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
3,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
4,E1,session closed for user root,session closed for user <*>
5,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
6,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
7,E1,session closed for user root,session closed for user <*>
8,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
9,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
10,E1,session closed for user root,session closed for user <*>
11,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
12,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
13,E1,session closed for user root,session closed for user <*>
14,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
15,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
16,E1,session closed for user root,session closed for user <*>
17,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
18,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
19,E1,session closed for user root,session closed for user <*>
20,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
21,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
22,E1,session closed for user root,session closed for user <*>
23,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
24,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
25,E1,session closed for user root,session closed for user <*>
26,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
27,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
28,E1,session closed for user root,session closed for user <*>
29,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
30,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
31,E1,session closed for user root,session closed for user <*>
32,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
33,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
34,E1,session closed for user root,session closed for user <*>
35,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
36,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
37,E1,session closed for user root,session closed for user <*>
38,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
39,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
40,E4,data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [<*>] datasource
41,E4,data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [<*>] datasource
42,E4,data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [<*>] datasource
43,E1,session closed for user root,session closed for user <*>
44,E2,session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
45,E3,(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
46,E5,"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
47,E5,"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
48,E5,"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>"
49,E4,data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [<*>] datasource
50,E5,"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
51,E4,data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [<*>] datasource
52,E4,data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [<*>] datasource
53,E4,data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [<*>] datasource
54,E5,"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
55,E5,"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
56,E6,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[<*>]: ********************** NEW SWEEP ********************
57,E5,"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>"
58,E4,data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [<*>] datasource
59,E5,"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
60,E5,"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
61,E4,data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [<*>] datasource
62,E5,"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
63,E7,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
64,E8,[ib_sm_sweep.c:1482]: No configuration change required,[<*>]: No configuration change required
65,E4,data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [<*>] datasource
66,E4,data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [<*>] datasource
67,E4,data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [<*>] datasource
68,E5,"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
69,E4,data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [<*>] datasource
70,E4,data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [<*>] datasource
71,E5,"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
72,E5,"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
