dataset,GA,PA,ED,N_ED
HDFS,0.93,0.9955,0.0495,0.9989
Hadoop,0.6825,0.744,6.0375,0.9152
Spark,0.7375,0.9595,1.048,0.98293
Zookeeper,0.955,0.979,0.079,0.99802
BGL,0.736,0.9495,1.031,0.99036
HPC,0.935,0.9795,0.2025,0.99712
Thunderbird,0.234,0.879,1.236,0.97772
Windows,0.71,0.715,13.7175,0.90311
Linux,0.484,0.6195,4.963,0.93471
Android,0.7365,0.6765,5.789,0.95161
HealthApp,0.876,0.9835,0.22,0.9965
Apache,0.984,0.985,0.21,0.99661
OpenSSH,0.749,0.987,0.1705,0.99868
OpenStack,0.2195,0.4365,8.304,0.87294
Mac,0.7115,0.5485,10.607,0.89778
avg,0.712,0.8292,3.5776,0.96081
