dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.991,0.9655,0.9375,0.98673
Spark,0.999,0.982,0.1015,0.99826
Zookeeper,0.9945,0.996,0.0955,0.99874
BGL,0.9775,0.9645,1.8065,0.98816
HPC,0.9695,0.993,0.069,0.99861
Thunderbird,0.9805,0.887,1.403,0.97565
Windows,0.6955,0.684,5.6275,0.89635
Linux,0.2995,0.4325,4.204,0.92945
Android,0.949,0.718,5.007,0.93666
HealthApp,1.0,0.99,0.077,0.99868
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.805,1.741,0.98317
OpenStack,1.0,0.9765,0.593,0.99147
Mac,0.8205,0.5425,11.251,0.888
avg,0.8953,0.8624,2.1942,0.97133
