dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.987,0.892,6.4655,0.95224
Spark,0.979,0.9695,0.364,0.98886
Zookeeper,0.9745,0.9725,0.3585,0.99355
BGL,0.9795,0.9335,2.074,0.98395
HPC,0.935,0.9315,0.4935,0.99342
Thunderbird,0.8865,0.8445,9.4215,0.94305
Windows,0.6915,0.307,17.6835,0.6937
Linux,0.9965,0.4635,8.12,0.82834
Android,0.801,0.7275,8.153,0.94588
HealthApp,0.973,0.896,3.178,0.94807
Apache,1.0,0.994,0.006,0.99977
OpenSSH,0.889,0.9695,1.2225,0.98699
OpenStack,1.0,0.4735,3.645,0.93379
Mac,0.795,0.4325,12.019,0.84243
avg,0.9258,0.7871,4.8803,0.9356
