dataset,GA,PA,ED,N_ED
HDFS,0.9425,0.959,0.223,0.99339
Hadoop,0.9885,0.89,1.299,0.97702
Spark,0.907,0.879,2.237,0.96658
Zookeeper,0.9885,0.5485,4.9715,0.82249
BGL,0.986,0.888,2.0755,0.96261
HPC,0.9525,0.8865,0.474,0.98213
Thunderbird,0.8875,0.7925,17.5445,0.87284
Windows,0.992,0.6015,10.9405,0.8301
Linux,0.94,0.8815,1.285,0.96336
Android,0.914,0.6535,12.5625,0.92024
HealthApp,0.898,0.8725,3.402,0.93999
Apache,1.0,0.984,0.224,0.99639
OpenSSH,1.0,0.7065,8.1895,0.9156
OpenStack,0.4915,0.346,7.054,0.88004
Mac,0.7375,0.4335,12.473,0.83648
avg,0.9084,0.7548,5.6637,0.92395
