dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.991,0.961,1.085,0.98842
Spark,0.9245,0.8825,1.829,0.9704
Zookeeper,0.9885,0.9875,0.1705,0.99728
BGL,0.995,0.9645,1.744,0.98958
HPC,0.9525,0.9265,0.645,0.99288
Thunderbird,0.7045,0.923,0.7875,0.98522
Windows,0.6915,0.454,12.1435,0.80646
Linux,0.94,0.9225,0.5845,0.97843
Android,0.973,0.7925,3.7485,0.95746
HealthApp,0.9025,0.887,1.114,0.981
Apache,1.0,1.0,0.0,1.0
OpenSSH,1.0,0.6525,2.598,0.96632
OpenStack,1.0,0.919,0.8365,0.99022
Mac,0.812,0.527,15.8585,0.87879
avg,0.925,0.8533,2.8763,0.9655
