dataset,GA,PA,ED,N_ED
HDFS,1.0,0.919,1.134,0.97893
Hadoop,0.992,0.7225,3.4975,0.95669
Spark,0.9095,0.8675,2.799,0.956
Zookeeper,0.9685,0.949,1.022,0.98232
BGL,0.9935,0.9275,1.772,0.98386
HPC,0.9525,0.8995,0.409,0.98663
Thunderbird,0.982,0.813,14.0005,0.94223
Windows,0.996,0.8695,3.6005,0.95104
Linux,0.5445,0.275,8.0915,0.84633
Android,0.961,0.6665,11.6605,0.94414
HealthApp,0.9025,0.8795,3.336,0.94184
Apache,1.0,0.978,0.248,0.99543
OpenSSH,1.0,0.971,0.076,0.999
OpenStack,0.4915,0.447,6.7625,0.89421
Mac,0.8285,0.5375,11.766,0.89544
avg,0.9015,0.7815,4.6783,0.95027
