dataset,GA,PA,ED,N_ED
HDFS,1.0,0.999,0.014,0.99979
Hadoop,0.988,0.8765,3.0925,0.97439
Spark,0.9245,0.695,7.979,0.8539
Zookeeper,0.9885,0.981,0.287,0.99599
BGL,0.991,0.9295,0.9405,0.99085
HPC,0.9525,0.74,1.937,0.94382
Thunderbird,0.9865,0.477,7.144,0.88826
Windows,0.996,0.2695,23.847,0.76907
Linux,0.853,0.31,9.6705,0.85786
Android,0.8665,0.5695,12.896,0.87486
HealthApp,0.9025,0.8785,3.3435,0.94581
Apache,1.0,0.978,0.248,0.99543
OpenSSH,0.9575,0.6685,8.6385,0.924
OpenStack,0.4915,0.335,8.8815,0.86044
Mac,0.808,0.469,10.9625,0.88154
avg,0.9137,0.6784,6.6588,0.91707
