dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.989,0.8865,6.576,0.9519
Spark,0.923,0.9135,0.66,0.98473
Zookeeper,0.9745,0.9675,0.5705,0.99181
BGL,0.9925,0.9375,1.9295,0.98692
HPC,0.9525,0.943,0.3755,0.99529
Thunderbird,0.9135,0.8525,2.2,0.95158
Windows,1.0,0.6095,12.0005,0.79537
Linux,0.996,0.973,0.483,0.99061
Android,0.8605,0.734,4.526,0.94588
HealthApp,0.995,0.98,0.5605,0.9901
Apache,1.0,0.978,0.23,0.99616
Proxifier,1.0,0.99,0.21,0.99777
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.982,0.4005,0.99465
Mac,0.812,0.5245,10.911,0.86347
avg,0.963,0.8904,2.6684,0.96408
