dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.885,6.6165,0.95158
Spark,0.979,0.9535,0.46,0.98755
Zookeeper,0.9745,0.834,1.904,0.93394
BGL,0.9925,0.9455,1.8415,0.98842
HPC,0.9525,0.937,0.4215,0.99489
Thunderbird,0.919,0.8585,2.018,0.9536
Windows,0.996,0.6075,9.0435,0.86132
Linux,0.996,0.5205,7.6805,0.83366
Android,0.836,0.7725,4.4225,0.94423
HealthApp,0.995,0.99,0.283,0.99543
Apache,1.0,0.978,0.23,0.99616
Proxifier,0.522,0.5075,2.628,0.9227
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.9925,0.0225,0.99982
Mac,0.838,0.5435,10.134,0.8887
avg,0.9368,0.8313,3.0479,0.95257
