dataset,GA,PA,ED,N_ED
HDFS,1.0,0.96,0.04,0.99907
Hadoop,0.886,0.781,8.786,0.86745
Spark,0.9405,0.9525,1.2805,0.97942
Zookeeper,0.965,0.54,5.744,0.82331
BGL,0.9745,0.9255,1.048,0.98334
HPC,0.282,0.597,5.76,0.80798
Thunderbird,0.9495,0.848,10.0945,0.92384
Windows,0.986,0.7105,10.5765,0.81874
Linux,0.5295,0.696,2.9565,0.95336
Android,0.914,0.721,3.939,0.93183
HealthApp,0.9005,0.877,3.363,0.94292
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.5075,0.696,3.4755,0.94509
OpenStack,0.7325,0.725,10.034,0.82245
Mac,0.4085,0.297,36.255,0.56245
avg,0.7984,0.7551,6.8902,0.89075
