dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.987,0.887,6.5755,0.95188
Spark,0.9985,0.9735,1.058,0.98228
Zookeeper,0.9945,0.986,0.44,0.99458
BGL,0.994,0.9505,1.6305,0.98925
HPC,0.9525,0.944,0.294,0.99613
Thunderbird,0.897,0.8385,9.5855,0.9385
Windows,0.9985,0.7595,6.4735,0.90921
Linux,0.995,0.973,0.421,0.99158
Android,0.9625,0.813,3.7095,0.96548
HealthApp,1.0,0.9955,0.0755,0.99862
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,0.996,0.9745,1.07,0.98896
OpenStack,0.968,0.9835,0.328,0.99579
Mac,0.8405,0.5305,9.934,0.88867
avg,0.974,0.9131,2.5997,0.97443
