dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.99,0.729,6.595,0.90647
Spark,0.9965,0.959,2.7855,0.96986
Zookeeper,0.9725,0.9715,0.324,0.99383
BGL,0.987,0.949,0.6815,0.98159
HPC,0.951,0.947,0.262,0.9963
Thunderbird,0.98,0.649,15.765,0.86182
Windows,0.9945,0.9885,0.4745,0.99574
Linux,0.992,0.9215,0.6085,0.98969
Android,0.9255,0.8135,9.4295,0.94805
HealthApp,1.0,0.9725,0.55,0.99
Apache,1.0,1.0,0.0,1.0
OpenSSH,1.0,0.942,1.25,0.97504
OpenStack,1.0,0.962,1.8465,0.98052
Mac,0.8875,0.6915,10.2385,0.90263
avg,0.9784,0.8997,3.3874,0.9661
