dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.991,0.9645,0.925,0.98726
Spark,0.999,0.9815,0.1065,0.99816
Zookeeper,0.9945,0.9855,0.112,0.99818
BGL,0.9775,0.9665,1.589,0.98866
HPC,0.9695,0.9935,0.0665,0.99873
Thunderbird,0.9845,0.8515,2.1115,0.9613
Windows,0.6955,0.685,5.6135,0.8967
Linux,0.2995,0.3605,4.715,0.90901
Android,0.97,0.613,7.605,0.92305
HealthApp,0.9005,0.889,2.7955,0.95706
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.805,1.741,0.98317
OpenStack,0.9895,0.976,0.611,0.99129
Mac,0.8165,0.555,10.481,0.88548
avg,0.8894,0.8418,2.5648,0.9652
