Content,EventTemplate,Output
NIFF: node node-148 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-26 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-120 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-142 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-73 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-252 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-163 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-186 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-176 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-237 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-157 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-214 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-130 has detected an available network connection on network 10.96.0.0 via interface scip0,NIFF: node <*> has detected an available network connection on network <*> via interface scip0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-45 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-151 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-29 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-87 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-203 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-113 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-104 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-193 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-139 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-143 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-106 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-7 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-240 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-204 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-46 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-150 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-91 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-44 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-244 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-144 has detected an available network connection on network 10.96.0.0 via interface scip0,NIFF: node <*> has detected an available network connection on network <*> via interface scip0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-17 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-202 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface alt0,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
